,cifar10_resnet18,cifar10_vgg16,cifar100_resnet18,cifar100_vgg16,tinyimg_resnet18,tinyimg_vgg16,fmnist_resnet18,fmnist_vgg16
retrain,"{'correctness': 0.6912, 'confidence': 0.6912, 'entropy': 0.9989333333333333, 'm_entropy': 0.014755555555555555, 'prob': 0.8495111111111111}","{'correctness': 0.8070222222222222, 'confidence': 0.8070222222222222, 'entropy': 1.0, 'm_entropy': 0.0, 'prob': 0.8949333333333334}","{'correctness': 0.22133333333333333, 'confidence': 0.208, 'entropy': 0.7182222222222222, 'm_entropy': 0.0, 'prob': 0.328}","{'correctness': 0.3333333333333333, 'confidence': 0.9991111111111111, 'entropy': 0.9937777777777778, 'm_entropy': 0.0, 'prob': 0.4693333333333333}","{'correctness': 0.3928, 'confidence': 0.3888, 'entropy': 0.9064, 'm_entropy': 1.0, 'prob': 0.5896}","{'correctness': 0.5432, 'confidence': 0.5432, 'entropy': 0.9968, 'm_entropy': 1.0, 'prob': 0.5512}","{'correctness': 0.9631111111111111, 'confidence': 0.9631111111111111, 'entropy': 0.9998518518518519, 'm_entropy': 0.06925925925925926, 'prob': 0.9818518518518519}","{'correctness': 0.9661481481481482, 'confidence': 0.9661481481481482, 'entropy': 0.9999259259259259, 'm_entropy': 0.0007407407407407407, 'prob': 0.9826666666666667}"
FT,"{'correctness': 0.6993777777777778, 'confidence': 0.6993777777777778, 'entropy': 0.9982222222222222, 'm_entropy': 0.011644444444444445, 'prob': 0.8570666666666666}","{'correctness': 0.8260444444444445, 'confidence': 0.8259555555555556, 'entropy': 0.9998222222222222, 'm_entropy': 0.0002666666666666667, 'prob': 0.9024}","{'correctness': 0.22933333333333333, 'confidence': 0.22755555555555557, 'entropy': 0.8871111111111111, 'm_entropy': 0.0, 'prob': 0.36}","{'correctness': 0.37955555555555553, 'confidence': 0.9955555555555555, 'entropy': 0.9893333333333333, 'm_entropy': 0.0, 'prob': 0.4791111111111111}","{'correctness': 0.3872, 'confidence': 0.3752, 'entropy': 0.7384, 'm_entropy': 1.0, 'prob': 0.5384}","{'correctness': 0.4744, 'confidence': 0.472, 'entropy': 0.9776, 'm_entropy': 1.0, 'prob': 0.4944}","{'correctness': 0.9684444444444444, 'confidence': 0.9684444444444444, 'entropy': 0.9998518518518519, 'm_entropy': 0.0027407407407407406, 'prob': 0.9837777777777778}","{'correctness': 0.9727407407407408, 'confidence': 0.9727407407407408, 'entropy': 1.0, 'm_entropy': 0.00014814814814814815, 'prob': 0.985037037037037}"
FF,"{'correctness': 0.9488, 'confidence': 0.9488, 'entropy': 0.9999111111111111, 'm_entropy': 0.013422222222222223, 'prob': 0.9935111111111111}","[0, 0, 0, 0, 0]","{'correctness': 0.9688888888888889, 'confidence': 0.9688888888888889, 'entropy': 1.0, 'm_entropy': 1.0, 'prob': 0.9715555555555555}","[0, 0, 0, 0, 0]","{'correctness': 0.9992, 'confidence': 0.9992, 'entropy': 1.0, 'm_entropy': 1.0, 'prob': 0.9992}","[0, 0, 0, 0, 0]","{'correctness': 0.09118518518518519, 'confidence': 0.09214814814814815, 'entropy': 0.005481481481481481, 'm_entropy': 0.2521481481481481, 'prob': 0.8777777777777778}","[0, 0, 0, 0, 0]"
GA,"{'correctness': 0.9211555555555555, 'confidence': 0.9211555555555555, 'entropy': 1.0, 'm_entropy': 0.0007111111111111111, 'prob': 0.9211555555555555}","{'correctness': 0.8203555555555555, 'confidence': 0.8203555555555555, 'entropy': 0.9998222222222222, 'm_entropy': 0.25982222222222223, 'prob': 0.8206222222222223}","{'correctness': 0.9448888888888889, 'confidence': 0.9448888888888889, 'entropy': 1.0, 'm_entropy': 0.0, 'prob': 0.9448888888888889}","{'correctness': 0.8968888888888888, 'confidence': 0.8968888888888888, 'entropy': 1.0, 'm_entropy': 0.0, 'prob': 0.8968888888888888}","{'correctness': 0.9904, 'confidence': 0.9904, 'entropy': 1.0, 'm_entropy': 1.0, 'prob': 0.9904}","{'correctness': 0.9888, 'confidence': 0.9888, 'entropy': 1.0, 'm_entropy': 1.0, 'prob': 0.9888}","{'correctness': 0.9657777777777777, 'confidence': 0.9657777777777777, 'entropy': 1.0, 'm_entropy': 0.028592592592592593, 'prob': 0.9657777777777777}","{'correctness': 0.4991851851851852, 'confidence': 0.5018518518518519, 'entropy': 0.015407407407407408, 'm_entropy': 0.486, 'prob': 0.6392592592592593}"
IU,"{'correctness': 0.9678222222222223, 'confidence': 0.9678222222222223, 'entropy': 1.0, 'm_entropy': 0.013511111111111111, 'prob': 0.9684444444444444}","{'correctness': 1.0, 'confidence': 1.0, 'entropy': 1.0, 'm_entropy': 0.0, 'prob': 1.0}","{'correctness': 0.9644444444444444, 'confidence': 0.9644444444444444, 'entropy': 1.0, 'm_entropy': 0.0, 'prob': 0.9644444444444444}","{'correctness': 0.9982222222222222, 'confidence': 0.9982222222222222, 'entropy': 1.0, 'm_entropy': 0.0, 'prob': 0.9982222222222222}","{'correctness': 0.9856, 'confidence': 0.9856, 'entropy': 1.0, 'm_entropy': 1.0, 'prob': 0.9856}","{'correctness': 1.0, 'confidence': 1.0, 'entropy': 1.0, 'm_entropy': 1.0, 'prob': 1.0}","{'correctness': 0.9887407407407407, 'confidence': 0.9887407407407407, 'entropy': 1.0, 'm_entropy': 0.009777777777777778, 'prob': 0.9900740740740741}","{'correctness': 0.23755555555555555, 'confidence': 0.2394074074074074, 'entropy': 0.9951851851851852, 'm_entropy': 0.26681481481481484, 'prob': 0.9512592592592592}"
FT_prune,"{'correctness': 0.8816888888888889, 'confidence': 0.0, 'entropy': 0.0, 'm_entropy': 0.7725333333333333, 'prob': 0.9413333333333334}","{'correctness': 0.3926222222222222, 'confidence': 0.4135111111111111, 'entropy': 0.07937777777777778, 'm_entropy': 0.7628444444444444, 'prob': 0.7511111111111111}","{'correctness': 0.8417777777777777, 'confidence': 0.8417777777777777, 'entropy': 0.9991111111111111, 'm_entropy': 1.0, 'prob': 0.8515555555555555}","{'correctness': 0.9777777777777777, 'confidence': 0.9777777777777777, 'entropy': 1.0, 'm_entropy': 1.0, 'prob': 0.9786666666666667}","{'correctness': 1.0, 'confidence': 1.0, 'entropy': 1.0, 'm_entropy': 1.0, 'prob': 1.0}","{'correctness': 0.9816, 'confidence': 0.9808, 'entropy': 0.9984, 'm_entropy': 1.0, 'prob': 0.9816}","{'correctness': 0.033555555555555554, 'confidence': 0.033555555555555554, 'entropy': 0.0, 'm_entropy': 0.9998518518518519, 'prob': 0.9871111111111112}","{'correctness': 0.40370370370370373, 'confidence': 0.40370370370370373, 'entropy': 0.9997037037037036, 'm_entropy': 0.02822222222222222, 'prob': 0.9957037037037038}"
