Unnamed: 0,cifar10_resnet18,cifar10_vgg16,cifar100_resnet18,cifar100_vgg16,tinyimg_resnet18,tinyimg_vgg16,fmnist_resnet18,fmnist_vgg16
retrain,"{'correctness': 0.6624888888888889, 'confidence': 0.5535111111111111, 'entropy': 0.5446222222222222, 'm_entropy': 0.2270222222222222, 'prob': 0.7758222222222222}","{'correctness': 0.7766222222222222, 'confidence': 0.6963555555555555, 'entropy': 0.6614222222222222, 'm_entropy': 0.2031111111111111, 'prob': 0.8336888888888889}","{'correctness': 0.19555555555555557, 'confidence': 0.08888888888888889, 'entropy': 0.11466666666666667, 'm_entropy': 1.0, 'prob': 0.2897777777777778}","{'correctness': 0.288, 'confidence': 0.7226666666666667, 'entropy': 0.28355555555555556, 'm_entropy': 1.0, 'prob': 0.35644444444444445}","{'correctness': 0.292, 'confidence': 0.1376, 'entropy': 0.1688, 'm_entropy': 1.0, 'prob': 0.5152}","{'correctness': 0.3872, 'confidence': 0.1904, 'entropy': 0.1856, 'm_entropy': 0.9976, 'prob': 0.5104}","{'correctness': 0.9582222222222222, 'confidence': 0.9385925925925926, 'entropy': 0.9222962962962963, 'm_entropy': 0.22333333333333333, 'prob': 0.9776296296296296}","{'correctness': 0.9614814814814815, 'confidence': 0.948962962962963, 'entropy': 0.9373333333333334, 'm_entropy': 0.25496296296296295, 'prob': 0.9783703703703703}"
FT,"{'correctness': 0.6687111111111111, 'confidence': 0.5505777777777778, 'entropy': 0.5495111111111111, 'm_entropy': 0.17226666666666668, 'prob': 0.7661333333333333}","{'correctness': 0.7980444444444444, 'confidence': 0.7161777777777778, 'entropy': 0.6984888888888889, 'm_entropy': 0.41404444444444444, 'prob': 0.8776}","{'correctness': 0.22577777777777777, 'confidence': 0.11022222222222222, 'entropy': 0.12711111111111112, 'm_entropy': 1.0, 'prob': 0.25333333333333335}","{'correctness': 0.3466666666666667, 'confidence': 0.192, 'entropy': 0.29155555555555557, 'm_entropy': 1.0, 'prob': 0.38133333333333336}","{'correctness': 0.3152, 'confidence': 0.172, 'entropy': 0.1992, 'm_entropy': 1.0, 'prob': 0.3976}","{'correctness': 0.4104, 'confidence': 0.2208, 'entropy': 0.2048, 'm_entropy': 0.9952, 'prob': 0.4168}","{'correctness': 0.9622962962962963, 'confidence': 0.9417777777777778, 'entropy': 0.9286666666666666, 'm_entropy': 0.1682962962962963, 'prob': 0.9777777777777777}","{'correctness': 0.9694074074074074, 'confidence': 0.9551111111111111, 'entropy': 0.9475555555555556, 'm_entropy': 0.042444444444444444, 'prob': 0.9827407407407407}"
FF,"{'correctness': 0.5182222222222223, 'confidence': 0.7895111111111112, 'entropy': 0.7930666666666667, 'm_entropy': 0.7921777777777778, 'prob': 0.49537777777777775}","{'correctness': 0, 'confidence': 0, 'entropy': 0, 'm_entropy': 0, 'prob': 0}","{'correctness': 0.5075555555555555, 'confidence': 0.6355555555555555, 'entropy': 0.64, 'm_entropy': 1.0, 'prob': 0.4702222222222222}","{'correctness': 0, 'confidence': 0, 'entropy': 0, 'm_entropy': 0, 'prob': 0}","{'correctness': 0.9944, 'confidence': 0.9704, 'entropy': 0.9088, 'm_entropy': 1.0, 'prob': 0.9896}","{'correctness': 0, 'confidence': 0, 'entropy': 0, 'm_entropy': 0, 'prob': 0}","{'correctness': 0.7402222222222222, 'confidence': 0.685037037037037, 'entropy': 0.7610370370370371, 'm_entropy': 0.7998518518518518, 'prob': 0.9784444444444444}","{'correctness': 0, 'confidence': 0, 'entropy': 0, 'm_entropy': 0, 'prob': 0}"
GA,"{'correctness': 0.7633777777777778, 'confidence': 0.8363555555555555, 'entropy': 0.39982222222222225, 'm_entropy': 0.20506666666666667, 'prob': 0.7740444444444444}","{'correctness': 0.5937777777777777, 'confidence': 0.2310222222222222, 'entropy': 0.43706666666666666, 'm_entropy': 0.40373333333333333, 'prob': 0.6313777777777778}","{'correctness': 0.29155555555555557, 'confidence': 0.06933333333333333, 'entropy': 0.3671111111111111, 'm_entropy': 0.0, 'prob': 0.37333333333333335}","{'correctness': 0.144, 'confidence': 0.8595555555555555, 'entropy': 0.5706666666666667, 'm_entropy': 0.0, 'prob': 0.6711111111111111}","{'correctness': 0.4456, 'confidence': 0.572, 'entropy': 0.3368, 'm_entropy': 1.0, 'prob': 0.5136}","{'correctness': 0.3488, 'confidence': 0.452, 'entropy': 0.3232, 'm_entropy': 1.0, 'prob': 0.892}","{'correctness': 0.7733333333333333, 'confidence': 0.8082222222222222, 'entropy': 0.5125185185185185, 'm_entropy': 0.30807407407407406, 'prob': 0.7962962962962963}","{'correctness': 0.723037037037037, 'confidence': 0.7758518518518519, 'entropy': 0.4892592592592593, 'm_entropy': 0.490962962962963, 'prob': 0.601037037037037}"
IU,"{'correctness': 0.8746666666666667, 'confidence': 0.8661333333333333, 'entropy': 0.6705777777777778, 'm_entropy': 0.13813333333333333, 'prob': 0.8586666666666667}","{'correctness': 1.0, 'confidence': 1.0, 'entropy': 0.9899555555555556, 'm_entropy': 0.0, 'prob': 1.0}","{'correctness': 0.552, 'confidence': 0.6595555555555556, 'entropy': 0.18222222222222223, 'm_entropy': 1.0, 'prob': 0.5191111111111111}","{'correctness': 0.9991111111111111, 'confidence': 0.9982222222222222, 'entropy': 0.992, 'm_entropy': 1.0, 'prob': 0.9991111111111111}","{'correctness': 0.1496, 'confidence': 0.1664, 'entropy': 0.176, 'm_entropy': 1.0, 'prob': 0.9248}","{'correctness': 1.0, 'confidence': 0.9688, 'entropy': 0.8888, 'm_entropy': 0.9992, 'prob': 1.0}","{'correctness': 0.927037037037037, 'confidence': 0.9585925925925926, 'entropy': 0.4703703703703704, 'm_entropy': 0.5876296296296296, 'prob': 0.9491111111111111}","{'correctness': 0.7257037037037037, 'confidence': 0.9957777777777778, 'entropy': 0.9416296296296296, 'm_entropy': 0.17762962962962964, 'prob': 0.946962962962963}"
FT_prune,"{'correctness': 0.8108444444444445, 'confidence': 0.7899555555555555, 'entropy': 0.5851555555555555, 'm_entropy': 0.9534222222222222, 'prob': 0.7646222222222222}","{'correctness': 0.6098666666666667, 'confidence': 0.8747555555555555, 'entropy': 0.18, 'm_entropy': 0.052, 'prob': 0.8404444444444444}","{'correctness': 0.7662222222222222, 'confidence': 0.6906666666666667, 'entropy': 0.5297777777777778, 'm_entropy': 1.0, 'prob': 0.32622222222222225}","{'correctness': 0.9102222222222223, 'confidence': 0.7377777777777778, 'entropy': 0.6995555555555556, 'm_entropy': 1.0, 'prob': 0.544}","{'correctness': 1.0, 'confidence': 0.9824, 'entropy': 0.9296, 'm_entropy': 1.0, 'prob': 0.9984}","{'correctness': 0.8704, 'confidence': 0.736, 'entropy': 0.6752, 'm_entropy': 0.9896, 'prob': 0.7048}","{'correctness': 0.9242222222222222, 'confidence': 0.8855555555555555, 'entropy': 0.8491851851851852, 'm_entropy': 0.005481481481481481, 'prob': 0.9658518518518519}","{'correctness': 0.5866666666666667, 'confidence': 0.8988148148148148, 'entropy': 0.8151111111111111, 'm_entropy': 0.030962962962962963, 'prob': 0.9939259259259259}"
