,cifar10_resnet18,cifar10_vgg16,cifar100_resnet18,cifar100_vgg16,tinyimg_resnet18,tinyimg_vgg16,fmnist_resnet18,fmnist_vgg16
retrain,"[28.33, 30.54, 10.66, 91.69, 74.17]","[18.52, 21.24, 11.59, 99.89, 93.47]","[74.31, 85.07, 39.47, 100.0, 28.89]","[63.47, 69.6, 64.62, 100.0, 45.16]","[66.56, 69.44, 73.04, 100.0, 72.64]","[55.84, 66.4, 76.96, 100.0, 51.44]","[3.56, 3.81, 1.07, 40.24, 98.38]","[2.97, 3.07, 1.53, 12.17, 98.63]"
FT,"[28.21, 31.23, 12.78, 99.36, 73.51]","[18.36, 20.92, 10.07, 99.77, 93.45]","[73.78, 74.76, 72.09, 100.0, 30.49]","[62.58, 67.91, 73.42, 100.0, 43.56]","[66.88, 69.52, 73.44, 100.0, 75.04]","[56.16, 61.76, 74.72, 99.6, 53.84]","[3.62, 3.84, 1.11, 32.15, 98.32]","[2.91, 3.0, 1.33, 2.73, 98.67]"
FF,"[45.7, 48.59, 20.58, 98.78, 76.31]","[0, 0, 0, 0, 0]","[100.0, 80.98, 87.73, 100.0, 71.56]","[0, 0, 0, 0, 0]","[93.36, 94.56, 78.24, 100.0, 9.12]","[0, 0, 0, 0, 0]","[6.05, 6.4, 2.26, 99.98, 98.05]","[0, 0, 0, 0, 0]"
GA,"[44.37, 46.89, 18.36, 97.6, 74.91]","[42.04, 47.32, 23.21, 99.8, 71.0]","[91.29, 93.51, 70.58, 0.0, 21.24]","[88.09, 93.42, 64.98, 100.0, 49.78]","[88.48, 90.56, 76.08, 100.0, 5.36]","[100.0, 100.0, 13.52, 100.0, 99.92]","[6.1, 6.46, 2.18, 100.0, 97.92]","[5.17, 5.64, 2.19, 100.0, 98.41]"
IU,"[40.18, 41.4, 12.19, 89.4, 69.84]","[39.09, 45.01, 23.32, 99.95, 72.26]","[92.8, 93.6, 61.42, 0.0, 54.67]","[86.49, 92.0, 61.69, 0.0, 5.78]","[100.0, 100.0, 99.36, 100.0, 99.84]","[16.32, 7.12, 32.88, 100.0, 7.44]","[6.52, 93.97, 85.47, 39.52, 97.76]","[5.62, 5.99, 2.07, 100.0, 98.08]"
FT_prune,"[41.3, 42.45, 7.47, 99.74, 71.36]","[37.99, 40.92, 13.14, 99.94, 67.92]","[87.02, 91.11, 54.84, 100.0, 26.67]","[88.8, 88.62, 62.93, 0.0, 55.38]","[82.24, 86.08, 68.24, 100.0, 6.16]","[100.0, 100.0, 11.44, 100.0, 99.44]","[5.36, 5.49, 0.85, 100.0, 97.99]","[4.99, 5.17, 1.12, 100.0, 98.2]"
