,cifar10_resnet18,cifar10_vgg16,cifar100_resnet18,cifar100_vgg16,tinyimg_resnet18,tinyimg_vgg16,fmnist_resnet18,fmnist_vgg16
retrain,"[66.25, 55.35, 54.46, 22.7, 77.58]","[77.66, 69.64, 66.14, 20.31, 83.37]","[19.56, 8.89, 11.47, 100.0, 28.98]","[28.8, 72.27, 28.36, 100.0, 35.64]","[29.2, 13.76, 16.88, 100.0, 51.52]","[38.72, 19.04, 18.56, 99.76, 51.04]","[95.82, 93.86, 92.23, 22.33, 97.76]","[96.15, 94.9, 93.73, 25.5, 97.84]"
FT,"[66.25, 55.35, 54.46, 22.7, 77.58]","[77.66, 69.64, 66.14, 20.31, 83.37]","[19.56, 8.89, 11.47, 100.0, 28.98]","[28.8, 72.27, 28.36, 100.0, 35.64]","[29.2, 13.76, 16.88, 100.0, 51.52]","[38.72, 19.04, 18.56, 99.76, 51.04]","[95.82, 93.86, 92.23, 22.33, 97.76]","[96.15, 94.9, 93.73, 25.5, 97.84]"
FF,"[99.98, 16.75, 84.29, 100.0, 68.46]","[0, 0, 0, 0, 0]","[100.0, 80.98, 87.73, 100.0, 71.56]","[0, 0, 0, 0, 0]","[100.0, 61.6, 41.68, 100.0, 63.84]","[0, 0, 0, 0, 0]","[97.86, 84.8, 69.16, 0.0, 56.87]","[0, 0, 0, 0, 0]"
GA,"[100.0, 100.0, 100.0, 84.52, 100.0]","[100.0, 100.0, 1.55, 64.14, 3.96]","[100.0, 100.0, 90.67, 0.0, 91.56]","[100.0, 100.0, 36.71, 0.0, 53.33]","[0.0, 97.76, 50.64, 100.0, 51.2]","[100.0, 100.0, 88.4, 100.0, 55.12]","[100.0, 100.0, 50.3, 71.34, 27.48]","[100.0, 100.0, 60.26, 38.86, 53.36]"
IU,"[100.0, 100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 61.91, 100.0, 60.65]","[100.0, 100.0, 100.0, 100.0, 100.0]","[0.0, 100.0, 0.0, 100.0, 2.58]","[100.0, 100.0, 100.0, 100.0, 100.0]","[0.0, 100.0, 20.72, 100.0, 77.68]","[100.0, 100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 71.04, 0.0, 78.92]"
FT_prune,"[100.0, 100.0, 95.46, 99.99, 92.86]","[100.0, 100.0, 0.35, 0.0, 1.93]","[100.0, 100.0, 99.29, 100.0, 95.56]","[99.82, 62.58, 99.91, 100.0, 100.0]","[100.0, 100.0, 2.24, 100.0, 2.72]","[100.0, 96.0, 0.64, 100.0, 0.32]","[64.59, 30.67, 33.89, 100.0, 74.79]","[95.42, 54.84, 0.15, 0.0, 11.01]"
