,cifar10_resnet18,cifar10_vgg16,cifar100_resnet18,cifar100_vgg16,tinyimg_resnet18,tinyimg_vgg16,fmnist_resnet18,fmnist_vgg16
retrain,"{'test_acc': 0.9963, 'forget_acc': 0.6912, 'forget_label_0': 0.7524444444444445, 'forget_label_1': 0.8088888888888889, 'forget_label_3': 0.5115555555555555, 'forget_label_5': 0.5968888888888889, 'forget_label_6': 0.7862222222222223}","{'test_acc': 0.997, 'forget_acc': 0.8070222222222222, 'forget_label_0': 0.848, 'forget_label_1': 0.908, 'forget_label_3': 0.6977777777777778, 'forget_label_5': 0.708, 'forget_label_6': 0.8733333333333333}","{'test_acc': 0.9996, 'forget_acc': 0.2071111111111111, 'forget_label_11': 0.15555555555555556, 'forget_label_22': 0.25333333333333335, 'forget_label_33': 0.4311111111111111, 'forget_label_44': 0.12444444444444444, 'forget_label_55': 0.07111111111111111}","{'test_acc': 0.9995, 'forget_acc': 0.33155555555555555, 'forget_label_11': 0.26222222222222225, 'forget_label_22': 0.4888888888888889, 'forget_label_33': 0.5866666666666667, 'forget_label_44': 0.11555555555555555, 'forget_label_55': 0.20444444444444446}","{'test_acc': 1.0, 'forget_acc': 0.3872, 'forget_label_1': 0.712, 'forget_label_51': 0.22, 'forget_label_101': 0.324, 'forget_label_151': 0.232, 'forget_label_198': 0.448}","{'test_acc': 1.0, 'forget_acc': 0.5448, 'forget_label_1': 0.768, 'forget_label_51': 0.42, 'forget_label_101': 0.596, 'forget_label_151': 0.388, 'forget_label_198': 0.552}","{'test_acc': 0.9996, 'forget_acc': 0.9632592592592593, 'forget_label_1': 0.9833333333333333, 'forget_label_3': 0.9203703703703704, 'forget_label_5': 0.9814814814814815, 'forget_label_7': 0.9607407407407408, 'forget_label_9': 0.9703703703703703}","{'test_acc': 0.9997, 'forget_acc': 0.9663703703703703, 'forget_label_1': 0.9881481481481481, 'forget_label_3': 0.9155555555555556, 'forget_label_5': 0.9825925925925926, 'forget_label_7': 0.9718518518518519, 'forget_label_9': 0.9737037037037037}"
FT,"{'test_acc': 0.9968, 'forget_acc': 0.6994666666666667, 'forget_label_0': 0.7666666666666667, 'forget_label_1': 0.8288888888888889, 'forget_label_3': 0.5257777777777778, 'forget_label_5': 0.5724444444444444, 'forget_label_6': 0.8035555555555556}","{'test_acc': 0.9977, 'forget_acc': 0.8255111111111111, 'forget_label_0': 0.8608888888888889, 'forget_label_1': 0.916, 'forget_label_3': 0.7306666666666667, 'forget_label_5': 0.7377777777777778, 'forget_label_6': 0.8822222222222222}","{'test_acc': 0.9994, 'forget_acc': 0.22133333333333333, 'forget_label_11': 0.1688888888888889, 'forget_label_22': 0.26666666666666666, 'forget_label_33': 0.4577777777777778, 'forget_label_44': 0.1111111111111111, 'forget_label_55': 0.10222222222222223}","{'test_acc': 0.9994, 'forget_acc': 0.3768888888888889, 'forget_label_11': 0.29333333333333333, 'forget_label_22': 0.5288888888888889, 'forget_label_33': 0.5822222222222222, 'forget_label_44': 0.28888888888888886, 'forget_label_55': 0.19111111111111112}","{'test_acc': 1.0, 'forget_acc': 0.376, 'forget_label_1': 0.772, 'forget_label_51': 0.12, 'forget_label_101': 0.352, 'forget_label_151': 0.148, 'forget_label_198': 0.488}","{'test_acc': 0.9995999199839968, 'forget_acc': 0.472, 'forget_label_1': 0.744, 'forget_label_51': 0.312, 'forget_label_101': 0.484, 'forget_label_151': 0.292, 'forget_label_198': 0.528}","{'test_acc': 0.9997, 'forget_acc': 0.9684444444444444, 'forget_label_1': 0.9866666666666667, 'forget_label_3': 0.9277777777777778, 'forget_label_5': 0.9862962962962963, 'forget_label_7': 0.9703703703703703, 'forget_label_9': 0.9711111111111111}","{'test_acc': 0.9995, 'forget_acc': 0.9727407407407408, 'forget_label_1': 0.9892592592592593, 'forget_label_3': 0.932962962962963, 'forget_label_5': 0.9892592592592593, 'forget_label_7': 0.9774074074074074, 'forget_label_9': 0.9748148148148148}"
FF,"{'test_acc': 0.9949, 'forget_acc': 0.9484444444444444, 'forget_label_0': 0.9053333333333333, 'forget_label_1': 0.9995555555555555, 'forget_label_3': 0.9133333333333333, 'forget_label_5': 0.9475555555555556, 'forget_label_6': 0.9764444444444444}","[0, 0, 0, 0, 0]","{'test_acc': 0.9952, 'forget_acc': 0.9688888888888889, 'forget_label_11': 0.9555555555555556, 'forget_label_22': 0.9777777777777777, 'forget_label_33': 0.9822222222222222, 'forget_label_44': 0.9777777777777777, 'forget_label_55': 0.9511111111111111}","[0, 0, 0, 0, 0]","{'test_acc': 0.996999399879976, 'forget_acc': 0.9752, 'forget_label_1': 0.996, 'forget_label_51': 0.96, 'forget_label_101': 0.968, 'forget_label_151': 0.972, 'forget_label_198': 0.98}","[0, 0, 0, 0, 0]","{'test_acc': 0.9922, 'forget_acc': 0.9002222222222223, 'forget_label_1': 0.9951851851851852, 'forget_label_3': 0.5777777777777777, 'forget_label_5': 0.9885185185185185, 'forget_label_7': 0.9507407407407408, 'forget_label_9': 0.9888888888888889}","[0, 0, 0, 0, 0]"
GA,"{'test_acc': 0.9962, 'forget_acc': 0.9211555555555555, 'forget_label_0': 0.9342222222222222, 'forget_label_1': 0.9173333333333333, 'forget_label_3': 0.9208888888888889, 'forget_label_5': 0.9151111111111111, 'forget_label_6': 0.9182222222222223}","{'test_acc': 0.9975, 'forget_acc': 0.8202666666666667, 'forget_label_0': 0.872, 'forget_label_1': 0.6035555555555555, 'forget_label_3': 0.8542222222222222, 'forget_label_5': 0.8466666666666667, 'forget_label_6': 0.9248888888888889}","{'test_acc': 0.9938, 'forget_acc': 0.944, 'forget_label_11': 0.9377777777777778, 'forget_label_22': 0.92, 'forget_label_33': 0.9466666666666667, 'forget_label_44': 0.9688888888888889, 'forget_label_55': 0.9466666666666667}","{'test_acc': 0.9972, 'forget_acc': 0.8968888888888888, 'forget_label_11': 0.9022222222222223, 'forget_label_22': 0.8088888888888889, 'forget_label_33': 0.9555555555555556, 'forget_label_44': 0.9155555555555556, 'forget_label_55': 0.9022222222222223}","{'test_acc': 0.9945989197839568, 'forget_acc': 0.988, 'forget_label_1': 0.992, 'forget_label_51': 0.976, 'forget_label_101': 0.988, 'forget_label_151': 0.992, 'forget_label_198': 0.992}","{'test_acc': 0.9983996799359872, 'forget_acc': 0.988, 'forget_label_1': 0.992, 'forget_label_51': 0.98, 'forget_label_101': 0.992, 'forget_label_151': 0.992, 'forget_label_198': 0.984}","{'test_acc': 0.9993, 'forget_acc': 0.9657777777777777, 'forget_label_1': 0.9922222222222222, 'forget_label_3': 0.9222222222222223, 'forget_label_5': 0.9859259259259259, 'forget_label_7': 0.99, 'forget_label_9': 0.9385185185185185}","{'test_acc': 0.9504, 'forget_acc': 0.5102222222222222, 'forget_label_1': 0.2940740740740741, 'forget_label_3': 0.9692592592592593, 'forget_label_5': 0.6240740740740741, 'forget_label_7': 0.45666666666666667, 'forget_label_9': 0.20703703703703705}"
IU,"{'test_acc': 0.9966, 'forget_acc': 0.9677333333333333, 'forget_label_0': 0.9791111111111112, 'forget_label_1': 0.9577777777777777, 'forget_label_3': 0.9666666666666667, 'forget_label_5': 0.9702222222222222, 'forget_label_6': 0.9648888888888889}","{'test_acc': 0.9977, 'forget_acc': 0.8160888888888889, 'forget_label_0': 0.8928888888888888, 'forget_label_1': 0.6266666666666667, 'forget_label_3': 0.8631111111111112, 'forget_label_5': 0.7844444444444445, 'forget_label_6': 0.9133333333333333}","{'test_acc': 0.9937, 'forget_acc': 0.9626666666666667, 'forget_label_11': 0.9777777777777777, 'forget_label_22': 0.9333333333333333, 'forget_label_33': 0.9511111111111111, 'forget_label_44': 0.9911111111111112, 'forget_label_55': 0.96}","{'test_acc': 0.9981, 'forget_acc': 0.9413333333333334, 'forget_label_11': 0.9377777777777778, 'forget_label_22': 0.9555555555555556, 'forget_label_33': 0.9733333333333334, 'forget_label_44': 0.9822222222222222, 'forget_label_55': 0.8577777777777778}","{'test_acc': 0.9977995599119824, 'forget_acc': 0.9856, 'forget_label_1': 0.988, 'forget_label_51': 0.976, 'forget_label_101': 0.98, 'forget_label_151': 1.0, 'forget_label_198': 0.984}","{'test_acc': 0.9991998399679936, 'forget_acc': 0.9792, 'forget_label_1': 0.984, 'forget_label_51': 0.98, 'forget_label_101': 1.0, 'forget_label_151': 0.992, 'forget_label_198': 0.94}","{'test_acc': 0.9866, 'forget_acc': 0.8123703703703704, 'forget_label_1': 0.9888888888888889, 'forget_label_3': 0.832962962962963, 'forget_label_5': 0.9, 'forget_label_7': 0.3877777777777778, 'forget_label_9': 0.9522222222222222}","{'test_acc': 0.9844, 'forget_acc': 0.7597037037037037, 'forget_label_1': 0.1925925925925926, 'forget_label_3': 0.77, 'forget_label_5': 0.937037037037037, 'forget_label_7': 0.9274074074074075, 'forget_label_9': 0.9714814814814815}"
FT_prune,"{'test_acc': 0.9928, 'forget_acc': 0.5572444444444444, 'forget_label_0': 0.532, 'forget_label_1': 0.7244444444444444, 'forget_label_3': 0.5008888888888889, 'forget_label_5': 0.47155555555555556, 'forget_label_6': 0.5573333333333333}","{'test_acc': 0.9969, 'forget_acc': 0.6886222222222222, 'forget_label_0': 0.8022222222222222, 'forget_label_1': 0.8591111111111112, 'forget_label_3': 0.328, 'forget_label_5': 0.6208888888888889, 'forget_label_6': 0.8328888888888889}","{'test_acc': 0.9996, 'forget_acc': 0.1902222222222222, 'forget_label_11': 0.2, 'forget_label_22': 0.1511111111111111, 'forget_label_33': 0.5155555555555555, 'forget_label_44': 0.057777777777777775, 'forget_label_55': 0.02666666666666667}","{'test_acc': 0.9997, 'forget_acc': 0.2408888888888889, 'forget_label_11': 0.05333333333333334, 'forget_label_22': 0.43555555555555553, 'forget_label_33': 0.6888888888888889, 'forget_label_44': 0.02666666666666667, 'forget_label_55': 0.0}","{'test_acc': 1.0, 'forget_acc': 0.4224, 'forget_label_1': 0.728, 'forget_label_51': 0.136, 'forget_label_101': 0.436, 'forget_label_151': 0.216, 'forget_label_198': 0.596}","{'test_acc': 1.0, 'forget_acc': 0.4928, 'forget_label_1': 0.824, 'forget_label_51': 0.32, 'forget_label_101': 0.544, 'forget_label_151': 0.36, 'forget_label_198': 0.416}","{'test_acc': 0.9852, 'forget_acc': 0.8452592592592593, 'forget_label_1': 0.9285185185185185, 'forget_label_3': 0.6303703703703704, 'forget_label_5': 0.8977777777777778, 'forget_label_7': 0.857037037037037, 'forget_label_9': 0.9125925925925926}","{'test_acc': 0.9568, 'forget_acc': 0.6725185185185185, 'forget_label_1': 0.9433333333333334, 'forget_label_3': 0.6596296296296297, 'forget_label_5': 0.7759259259259259, 'forget_label_7': 0.035925925925925924, 'forget_label_9': 0.9477777777777778}"
