Unnamed: 0,cifar10_resnet18,cifar10_vgg16,cifar100_resnet18,cifar100_vgg16,tinyimg_resnet18,tinyimg_vgg16,fmnist_resnet18,fmnist_vgg16
retrain,"{'retain': 99.86666666666666, 'forget': 69.11999995252822, 'val': 74.9, 'test': 81.46, 'forget 0': 75.20000005425348, 'forget 1': 80.97777801513672, 'forget 3': 51.022222310384116, 'forget 5': 59.68888882785373, 'forget 6': 78.71111130099827}","{'retain': 99.99407407407408, 'forget': 80.70222226698134, 'val': 85.65999995117187, 'test': 88.42, 'forget 0': 84.80000014919705, 'forget 1': 90.80000012885199, 'forget 3': 69.7777777642144, 'forget 5': 70.80000031873915, 'forget 6': 87.33333306206598}","{'retain': 99.9384615212465, 'forget': 22.133333418104385, 'val': 45.32, 'test': 50.79, 'forget 11': 16.0, 'forget 22': 27.11111068725586, 'forget 33': 44.0, 'forget 44': 16.44444465637207, 'forget 55': 7.111111164093018}","{'retain': 99.96581194859692, 'forget': 33.33333333672417, 'val': 60.100000018310546, 'test': 64.59, 'forget 11': 26.22222328186035, 'forget 22': 48.88888931274414, 'forget 33': 59.55555725097656, 'forget 44': 11.55555534362793, 'forget 55': 20.44444465637207}","{'retain': 99.89670781476268, 'forget': 39.2800001953125, 'val': 0, 'test': 41.12822561078988, 'forget 1': 71.20000457763672, 'forget 51': 22.399999618530273, 'forget 101': 33.20000076293945, 'forget 151': 24.399999618530273, 'forget 198': 45.20000076293945}","{'retain': 99.77620026531915, 'forget': 54.32000018920898, 'val': 0, 'test': 55.37107419958113, 'forget 1': 76.4000015258789, 'forget 51': 41.60000228881836, 'forget 101': 59.60000228881836, 'forget 151': 38.79999923706055, 'forget 198': 55.20000076293945}","{'retain': 99.91604938271605, 'forget': 96.31111111563223, 'val': 92.28333337402344, 'test': 93.52, 'forget 1': 98.37037059642651, 'forget 3': 92.0, 'forget 5': 98.14814814814815, 'forget 7': 96.00000022605613, 'forget 9': 97.037036980523}","{'retain': 99.99259259259259, 'forget': 96.614814803512, 'val': 93.58333331298829, 'test': 94.55, 'forget 1': 98.85185179533782, 'forget 3': 91.48148148148148, 'forget 5': 98.25925925925925, 'forget 7': 97.11111122413918, 'forget 9': 97.37037048339843}"
FT,"{'retain': 99.90222222222222, 'forget': 69.93777773844401, 'val': 76.07999995117187, 'test': 80.91, 'forget 0': 76.57777796766493, 'forget 1': 82.9777776828342, 'forget 3': 52.53333323499891, 'forget 5': 57.244444580078124, 'forget 6': 80.3555558336046}","{'retain': 99.97925925925927, 'forget': 82.60444447835286, 'val': 85.92000003662109, 'test': 89.23, 'forget 0': 86.08888877360026, 'forget 1': 91.68888875325521, 'forget 3': 73.06666654459636, 'forget 5': 73.86666645643446, 'forget 6': 88.31111119249132}","{'retain': 99.9475783303633, 'forget': 22.933333382500543, 'val': 46.28000001220703, 'test': 51.93, 'forget 11': 16.0, 'forget 22': 28.44444465637207, 'forget 33': 47.55555725097656, 'forget 44': 12.88888931274414, 'forget 55': 9.777777671813965}","{'retain': 99.96581194859692, 'forget': 37.9555555182563, 'val': 58.67999993896484, 'test': 64.11, 'forget 11': 29.77777862548828, 'forget 22': 52.88888931274414, 'forget 33': 58.66666793823242, 'forget 44': 29.33333396911621, 'forget 55': 19.11111068725586}","{'retain': 99.93417654862327, 'forget': 38.71999994506836, 'val': 0, 'test': 40.548109560877016, 'forget 1': 77.20000457763672, 'forget 51': 16.0, 'forget 101': 36.400001525878906, 'forget 151': 16.0, 'forget 198': 48.0}","{'retain': 99.91898652524551, 'forget': 47.43999985961914, 'val': 0, 'test': 53.210642094086545, 'forget 1': 73.5999984741211, 'forget 51': 32.0, 'forget 101': 48.79999923706055, 'forget 151': 29.600000381469727, 'forget 198': 53.20000076293945}","{'retain': 99.90123456790124, 'forget': 96.84444443314163, 'val': 92.28333337402344, 'test': 93.46, 'forget 1': 98.62962985568576, 'forget 3': 92.77777789080585, 'forget 5': 98.62962962962963, 'forget 7': 97.07407418710214, 'forget 9': 97.11111111111111}","{'retain': 99.99753086419753, 'forget': 97.2740740311234, 'val': 93.43333337402343, 'test': 94.46, 'forget 1': 98.9259262084961, 'forget 3': 93.29629635281033, 'forget 5': 98.92592592592592, 'forget 7': 97.7407410233109, 'forget 9': 97.48148159450955}"
FF,"{'retain': 98.50962963912399, 'forget': 94.87999996744792, 'val': 77.07999985351563, 'test': 82.51, 'forget 0': 90.5333332180447, 'forget 1': 99.95555555555555, 'forget 3': 91.37777766248915, 'forget 5': 94.80000028483073, 'forget 6': 97.73333368598091}","{'retain': 0, 'forget': 0, 'val': 0, 'test': 0, 'forget 0': 0, 'forget 1': 0, 'forget 3': 0, 'forget 5': 0, 'forget 6': 0}","{'retain': 94.96524216245993, 'forget': 96.88888924153646, 'val': 43.30000000305176, 'test': 52.26, 'forget 11': 95.55555725097656, 'forget 22': 97.77777862548828, 'forget 33': 98.22222137451172, 'forget 44': 97.77777862548828, 'forget 55': 95.11111450195312}","{'retain': 0, 'forget': 0, 'val': 0, 'test': 0, 'forget 11': 0, 'forget 22': 0, 'forget 33': 0, 'forget 44': 0, 'forget 55': 0}","{'retain': 99.02682559668314, 'forget': 99.92, 'val': 0, 'test': 42.1884376112283, 'forget 1': 100.0, 'forget 51': 100.0, 'forget 101': 100.0, 'forget 151': 99.5999984741211, 'forget 198': 100.0}","{'retain': 0, 'forget': 0, 'val': 0, 'test': 0, 'forget 1': 0, 'forget 51': 0, 'forget 101': 0, 'forget 151': 0, 'forget 198': 0}","{'retain': 96.85185184733074, 'forget': 90.88148149730542, 'val': 89.11666662597656, 'test': 92.42, 'forget 1': 100.0, 'forget 3': 59.33333338984737, 'forget 5': 99.33333333333333, 'forget 7': 95.88888905843099, 'forget 9': 99.85185185185185}","{'retain': 0, 'forget': 0, 'val': 0, 'test': 0, 'forget 1': 0, 'forget 3': 0, 'forget 5': 0, 'forget 7': 0, 'forget 9': 0}"
GA,"{'retain': 99.25333333288123, 'forget': 92.1155556681315, 'val': 77.44000001220704, 'test': 81.48, 'forget 0': 93.42222235107423, 'forget 1': 91.73333328586155, 'forget 3': 92.08888919406468, 'forget 5': 91.511111328125, 'forget 6': 91.82222235107422}","{'retain': 96.37037036946614, 'forget': 82.035555597602, 'val': 81.65999996337891, 'test': 84.59, 'forget 0': 87.24444434950087, 'forget 1': 60.35555568101671, 'forget 3': 85.42222190348308, 'forget 5': 84.6666664835612, 'forget 6': 92.48888901774089}","{'retain': 99.85413103691602, 'forget': 94.48888908555773, 'val': 46.17999999389649, 'test': 53.18, 'forget 11': 93.77777862548828, 'forget 22': 92.0, 'forget 33': 94.66666412353516, 'forget 44': 97.33333587646484, 'forget 55': 94.66666412353516}","{'retain': 99.92934471212969, 'forget': 89.68888894992405, 'val': 59.53999995727539, 'test': 65.47, 'forget 11': 90.22222137451172, 'forget 22': 80.8888931274414, 'forget 33': 95.55555725097656, 'forget 44': 91.55555725097656, 'forget 55': 90.22222137451172}","{'retain': 99.76506091200923, 'forget': 99.03999989013671, 'val': 0, 'test': 41.46829362057714, 'forget 1': 99.20000457763672, 'forget 51': 98.0, 'forget 101': 99.5999984741211, 'forget 151': 99.20000457763672, 'forget 198': 99.20000457763672}","{'retain': 99.92506253614184, 'forget': 98.88000052490234, 'val': 0, 'test': 55.731146141490264, 'forget 1': 99.20000457763672, 'forget 51': 98.0, 'forget 101': 99.20000457763672, 'forget 151': 99.20000457763672, 'forget 198': 98.80000305175781}","{'retain': 99.37037037037037, 'forget': 96.57777771900318, 'val': 91.71666664632161, 'test': 93.13, 'forget 1': 99.22222222222223, 'forget 3': 92.22222239176432, 'forget 5': 98.59259253607856, 'forget 7': 99.00000028257017, 'forget 9': 93.85185207790799}","{'retain': 87.2666666644061, 'forget': 50.0814814718741, 'val': 74.11666668701172, 'test': 91.5, 'forget 1': 21.592592634978118, 'forget 3': 97.51851868806062, 'forget 5': 62.3703702573423, 'forget 7': 46.222222363507306, 'forget 9': 22.703703703703702}"
IU,"{'retain': 99.79259260208696, 'forget': 96.78222218967014, 'val': 78.75999989013673, 'test': 82.93, 'forget 0': 97.91111095513237, 'forget 1': 95.77777746582031, 'forget 3': 96.71111113145616, 'forget 5': 97.02222206624349, 'forget 6': 96.48888899739583}","{'retain': 100.0, 'forget': 100.0, 'val': 89.13999995117187, 'test': 90.66, 'forget 0': 100.0, 'forget 1': 100.0, 'forget 3': 100.0, 'forget 5': 100.0, 'forget 6': 100.0}","{'retain': 99.87692305970803, 'forget': 96.4444444647895, 'val': 45.840000006103516, 'test': 53.03, 'forget 11': 97.77777862548828, 'forget 22': 93.77777862548828, 'forget 33': 95.11111450195312, 'forget 44': 99.11111450195312, 'forget 55': 96.44444274902344}","{'retain': 99.97264955543453, 'forget': 99.82222222222222, 'val': 59.779999951171874, 'test': 64.41, 'forget 11': 100.0, 'forget 22': 100.0, 'forget 33': 100.0, 'forget 44': 100.0, 'forget 55': 99.11111450195312}","{'retain': 99.87949245055646, 'forget': 98.56000052490235, 'val': 0, 'test': 43.66873366662468, 'forget 1': 98.80000305175781, 'forget 51': 97.5999984741211, 'forget 101': 98.0, 'forget 151': 100.0, 'forget 198': 98.4000015258789}","{'retain': 99.93620188945174, 'forget': 100.0, 'val': 0, 'test': 55.451090183704466, 'forget 1': 100.0, 'forget 51': 100.0, 'forget 101': 100.0, 'forget 151': 100.0, 'forget 198': 100.0}","{'retain': 99.38518518518518, 'forget': 98.874074089898, 'val': 92.48333337402343, 'test': 93.75, 'forget 1': 99.92592592592592, 'forget 3': 95.70370381673177, 'forget 5': 99.77777772126375, 'forget 7': 99.18518546775535, 'forget 9': 99.77777772126375}","{'retain': 94.65679011968919, 'forget': 76.24444448739511, 'val': 84.99999997965494, 'test': 91.23, 'forget 1': 18.444444472701463, 'forget 3': 76.77777772126375, 'forget 5': 93.74074096679688, 'forget 7': 93.62962962962963, 'forget 9': 98.6296295731156}"
FT_prune,"{'retain': 86.94222222990813, 'forget': 88.16888896620009, 'val': 74.01999991455078, 'test': 82.86, 'forget 0': 89.24444432915581, 'forget 1': 92.57777746582032, 'forget 3': 82.97777796766493, 'forget 5': 83.11111083984375, 'forget 6': 92.93333335367838}","{'retain': 83.40148147741247, 'forget': 60.73777777167426, 'val': 75.80000004882812, 'test': 85.38, 'forget 0': 33.95555546061198, 'forget 1': 30.622222225613065, 'forget 3': 77.37777770317925, 'forget 5': 77.42222216796876, 'forget 6': 84.31111101616753}","{'retain': 79.91339030017473, 'forget': 84.17777785915798, 'val': 42.07999996643066, 'test': 52.39, 'forget 11': 91.55555725097656, 'forget 22': 84.44444274902344, 'forget 33': 84.0, 'forget 44': 76.8888931274414, 'forget 55': 84.0}","{'retain': 97.30598288807231, 'forget': 97.77777762179905, 'val': 57.03999999389649, 'test': 65.38, 'forget 11': 98.66666412353516, 'forget 22': 98.22222137451172, 'forget 33': 97.77777862548828, 'forget 44': 96.44444274902344, 'forget 55': 97.77777862548828}","{'retain': 99.14226980286321, 'forget': 100.0, 'val': 0, 'test': 42.20844169215313, 'forget 1': 100.0, 'forget 51': 100.0, 'forget 101': 100.0, 'forget 151': 100.0, 'forget 198': 100.0}","{'retain': 96.8981964331057, 'forget': 98.15999967041016, 'val': 0, 'test': 54.810962169545725, 'forget 1': 98.80000305175781, 'forget 51': 97.5999984741211, 'forget 101': 98.4000015258789, 'forget 151': 98.4000015258789, 'forget 198': 97.5999984741211}","{'retain': 91.66419753237123, 'forget': 96.64444438566984, 'val': 90.63333325195312, 'test': 94.34, 'forget 1': 98.62962985568576, 'forget 3': 93.85185185185185, 'forget 5': 97.18518512867115, 'forget 7': 96.6666668927228, 'forget 9': 96.88888905843099}","{'retain': 85.73827159740307, 'forget': 59.629629636411316, 'val': 75.18333332824707, 'test': 94.65, 'forget 1': 99.03703703703704, 'forget 3': 98.81481481481481, 'forget 5': 0.25925925925925924, 'forget 7': 99.96296296296296, 'forget 9': 0.07407407407407407}"
