,cifar10_resnet18,cifar10_vgg16,cifar100_resnet18,cifar100_vgg16,tinyimg_resnet18,tinyimg_vgg16,fmnist_resnet18,fmnist_vgg16
retrain,"{'retain': 99.47851851851851, 'forget': 71.67111109076606, 'val': 74.41999989013672, 'test': 99.97, 'forget 0': 78.17777763536242, 'forget 1': 83.42222245958116, 'forget 3': 52.88888886854384, 'forget 5': 63.59999998643663, 'forget 6': 80.26666650390625}","{'retain': 99.95555555555555, 'forget': 81.47555560302735, 'val': 85.69999993896485, 'test': 99.98, 'forget 0': 85.46666681586372, 'forget 1': 91.73333346218533, 'forget 3': 69.7777779405382, 'forget 5': 72.48888903130425, 'forget 6': 87.91111143663194}","{'retain': 99.70598288876786, 'forget': 25.6888889380561, 'val': 44.019999993896484, 'test': 88.8, 'forget 11': 22.22222328186035, 'forget 22': 28.88888931274414, 'forget 33': 44.88888931274414, 'forget 44': 17.33333396911621, 'forget 55': 15.111111640930176}","{'retain': 99.9430199258049, 'forget': 36.53333334181044, 'val': 58.920000018310546, 'test': 99.37, 'forget 11': 36.0, 'forget 22': 49.77777862548828, 'forget 33': 59.11111068725586, 'forget 44': 15.111111640930176, 'forget 55': 22.66666603088379}","{'retain': 99.967594608553, 'forget': 33.44000025634766, 'val': 0, 'test': 93.73874768850254, 'forget 1': 53.20000076293945, 'forget 51': 20.399999618530273, 'forget 101': 32.0, 'forget 151': 26.80000114440918, 'forget 198': 34.79999923706055}","{'retain': 99.95240458131222, 'forget': 44.160000115966795, 'val': 0, 'test': 99.37987597519503, 'forget 1': 55.20000076293945, 'forget 51': 38.79999923706055, 'forget 101': 52.0, 'forget 151': 36.0, 'forget 198': 38.79999923706055}","{'retain': 99.30864197078752, 'forget': 96.43703704155816, 'val': 91.51666664632161, 'test': 99.98, 'forget 1': 98.62962985568576, 'forget 3': 92.59259287516277, 'forget 5': 98.18518518518519, 'forget 7': 96.0740743001302, 'forget 9': 96.70370364718967}","{'retain': 99.88888888888889, 'forget': 97.0296296025029, 'val': 93.48333337402343, 'test': 99.94, 'forget 1': 99.07407401756004, 'forget 3': 93.14814820466218, 'forget 5': 98.44444444444444, 'forget 7': 97.07407424361618, 'forget 9': 97.40740752043547}"
FT,"{'retain': 99.41333333333333, 'forget': 71.7866666571723, 'val': 74.25999987792969, 'test': 100.0, 'forget 0': 77.51111096869575, 'forget 1': 83.33333357069228, 'forget 3': 54.444444346110025, 'forget 5': 63.95555545383029, 'forget 6': 79.68888872612847}","{'retain': 99.9585184990777, 'forget': 81.63555560302734, 'val': 85.90000004882812, 'test': 99.96, 'forget 0': 85.77777766248914, 'forget 1': 91.86666670735677, 'forget 3': 70.17777811686197, 'forget 5': 71.77777749972873, 'forget 6': 88.57777801513672}","{'retain': 99.1407407235257, 'forget': 26.222222261216906, 'val': 42.51999996948242, 'test': 96.84, 'forget 11': 27.55555534362793, 'forget 22': 30.22222328186035, 'forget 33': 44.88888931274414, 'forget 44': 15.111111640930176, 'forget 55': 13.333333015441895}","{'retain': 99.9384615212465, 'forget': 37.42222223578559, 'val': 59.01999993286133, 'test': 98.13, 'forget 11': 37.77777862548828, 'forget 22': 52.0, 'forget 33': 59.11111068725586, 'forget 44': 16.0, 'forget 55': 22.22222328186035}","{'retain': 99.96151859765669, 'forget': 33.12000025634766, 'val': 0, 'test': 94.95899176783598, 'forget 1': 53.60000228881836, 'forget 51': 20.80000114440918, 'forget 101': 32.0, 'forget 151': 24.399999618530273, 'forget 198': 34.79999923706055}","{'retain': 99.97164528248388, 'forget': 43.83999978637695, 'val': 0, 'test': 93.67873560979285, 'forget 1': 60.79999923706055, 'forget 51': 35.60000228881836, 'forget 101': 49.20000076293945, 'forget 151': 37.20000076293945, 'forget 198': 36.400001525878906}","{'retain': 99.32839505720727, 'forget': 96.37777776647498, 'val': 91.66666670735677, 'test': 99.94, 'forget 1': 98.66666694923684, 'forget 3': 92.25925954182942, 'forget 5': 98.0, 'forget 7': 96.1111112806532, 'forget 9': 96.85185185185185}","{'retain': 99.88641975308641, 'forget': 97.08888887758609, 'val': 93.66666670735677, 'test': 99.96, 'forget 1': 99.037036980523, 'forget 3': 93.3703704268844, 'forget 5': 98.33333333333333, 'forget 7': 97.18518535472728, 'forget 9': 97.51851857503256}"
FF,"{'retain': 46.07999998575846, 'forget': 54.30222223307292, 'val': 48.19999993286133, 'test': 100.0, 'forget 0': 64.17777760823567, 'forget 1': 70.31111142985026, 'forget 3': 33.68888882954916, 'forget 5': 42.17777772013346, 'forget 6': 61.15555556233724}","[0, 0, 0, 0, 0]","{'retain': 1.02564102541823, 'forget': 0.0, 'val': 1.0, 'test': 1.0, 'forget 11': 0.0, 'forget 22': 0.0, 'forget 33': 0.0, 'forget 44': 0.0, 'forget 55': 0.0}","[0, 0, 0, 0, 0]","{'retain': 2.2876181025088775, 'forget': 6.640000001049041, 'val': 0, 'test': 84.71694340393958, 'forget 1': 1.600000023841858, 'forget 51': 0.4000000059604645, 'forget 101': 30.80000114440918, 'forget 151': 0.0, 'forget 198': 0.4000000059604645}","[0, 0, 0, 0, 0]","{'retain': 81.84444444218389, 'forget': 93.94814810519749, 'val': 84.96666666666667, 'test': 100.0, 'forget 1': 97.18518524169922, 'forget 3': 90.11111122413918, 'forget 5': 95.6296295731156, 'forget 7': 91.81481504087095, 'forget 9': 95.00000005651404}","[0, 0, 0, 0, 0]"
GA,"{'retain': 46.17185186134621, 'forget': 55.62666672634548, 'val': 48.21999998779297, 'test': 100.0, 'forget 0': 64.84444469536675, 'forget 1': 71.55555543348524, 'forget 3': 36.088889058430986, 'forget 5': 43.95555540974935, 'forget 6': 61.6888888176812}","{'retain': 52.69925925586842, 'forget': 57.95555556301541, 'val': 55.65999995727539, 'test': 100.0, 'forget 0': 64.97777752007379, 'forget 1': 72.62222216796874, 'forget 3': 34.400000159369576, 'forget 5': 49.33333347913954, 'forget 6': 68.44444423421224}","{'retain': 14.994871792393871, 'forget': 8.711111128489176, 'val': 14.279999981689453, 'test': 99.73, 'forget 11': 4.888888835906982, 'forget 22': 9.333333015441895, 'forget 33': 22.66666603088379, 'forget 44': 2.222222328186035, 'forget 55': 4.44444465637207}","{'retain': 16.847863246776438, 'forget': 11.911111113230387, 'val': 16.70000000152588, 'test': 99.71, 'forget 11': 9.333333015441895, 'forget 22': 12.88888931274414, 'forget 33': 24.44444465637207, 'forget 44': 7.111111164093018, 'forget 55': 5.777777671813965}","{'retain': 2.143819177915726, 'forget': 11.519999969482422, 'val': 0, 'test': 65.7531505843405, 'forget 1': 1.600000023841858, 'forget 51': 0.0, 'forget 101': 50.79999923706055, 'forget 151': 0.0, 'forget 198': 5.200000286102295}","{'retain': 1.1017833091980678, 'forget': 0.0, 'val': 0, 'test': 1.5603120624124824, 'forget 1': 0.0, 'forget 51': 0.0, 'forget 101': 0.0, 'forget 151': 0.0, 'forget 198': 0.0}","{'retain': 81.9703703673563, 'forget': 93.90370366075304, 'val': 84.88333325195312, 'test': 100.0, 'forget 1': 97.18518541124132, 'forget 3': 90.037036980523, 'forget 5': 94.9259258694119, 'forget 7': 92.88888917145906, 'forget 9': 94.48148153799552}","{'retain': 84.1555555570626, 'forget': 94.82962958667896, 'val': 86.84999991861979, 'test': 100.0, 'forget 1': 97.3333334463614, 'forget 3': 92.51851851851852, 'forget 5': 95.59259253607856, 'forget 7': 93.00000005651404, 'forget 9': 95.70370381673177}"
IU,"{'retain': 45.83703702754268, 'forget': 59.82222222425673, 'val': 49.79999992675781, 'test': 98.01, 'forget 0': 68.80000007459853, 'forget 1': 71.51111114501953, 'forget 3': 35.244444447835285, 'forget 5': 50.48888887871636, 'forget 6': 73.06666636827256}","{'retain': 52.62814814950448, 'forget': 60.90666675889757, 'val': 55.31999997558594, 'test': 100.0, 'forget 0': 66.35555547417535, 'forget 1': 81.51111092800564, 'forget 3': 39.86666678534614, 'forget 5': 45.51111103312174, 'forget 6': 71.28888911946615}","{'retain': 13.77094016998378, 'forget': 7.200000017378065, 'val': 13.219999993896485, 'test': 97.29, 'forget 11': 3.555555582046509, 'forget 22': 8.88888931274414, 'forget 33': 17.77777862548828, 'forget 44': 2.6666667461395264, 'forget 55': 3.1111111640930176}","{'retain': 14.527635326613728, 'forget': 13.511111113230386, 'val': 14.219999989318847, 'test': 39.41, 'forget 11': 0.0, 'forget 22': 17.33333396911621, 'forget 33': 50.22222137451172, 'forget 44': 0.0, 'forget 55': 0.0}","{'retain': 0.5569676654953468, 'forget': 0.0, 'val': 0, 'test': 0.8001600320064013, 'forget 1': 0.0, 'forget 51': 0.0, 'forget 101': 0.0, 'forget 151': 0.0, 'forget 198': 0.0}","{'retain': 1.7569798175171394, 'forget': 16.32, 'val': 0, 'test': 3.4006801353714233, 'forget 1': 0.0, 'forget 51': 0.0, 'forget 101': 81.5999984741211, 'forget 151': 0.0, 'forget 198': 0.0}","{'retain': 81.4172839438356, 'forget': 93.48148150182654, 'val': 84.38333331298828, 'test': 89.03, 'forget 1': 97.0000001695421, 'forget 3': 90.74074096679688, 'forget 5': 97.44444444444444, 'forget 7': 85.88888905843099, 'forget 9': 96.33333333333333}","{'retain': 83.91851851550443, 'forget': 94.3777777348271, 'val': 86.6666666056315, 'test': 100.0, 'forget 1': 97.14814826117622, 'forget 3': 91.22222250479238, 'forget 5': 95.48148148148148, 'forget 7': 92.74074074074075, 'forget 9': 95.29629635281033}"
FT_prune,"{'retain': 54.394074061640985, 'forget': 58.70222222425673, 'val': 55.90000000610352, 'test': 100.0, 'forget 0': 67.19999981011284, 'forget 1': 71.73333310275608, 'forget 3': 38.53333349270291, 'forget 5': 48.57777786593967, 'forget 6': 67.46666691758898}","{'retain': 58.45037036788375, 'forget': 62.00888889634874, 'val': 60.52000003662109, 'test': 100.0, 'forget 0': 69.37777767605252, 'forget 1': 74.04444456651476, 'forget 3': 42.39999987453884, 'forget 5': 46.666666666666664, 'forget 6': 77.55555539279514}","{'retain': 19.835897435506183, 'forget': 12.977777784983317, 'val': 18.820000006103516, 'test': 99.77, 'forget 11': 11.111111640930176, 'forget 22': 12.44444465637207, 'forget 33': 25.33333396911621, 'forget 44': 8.0, 'forget 55': 8.0}","{'retain': 12.973219372262982, 'forget': 11.200000001059639, 'val': 12.900000003051758, 'test': 71.12, 'forget 11': 3.555555582046509, 'forget 22': 12.0, 'forget 33': 28.44444465637207, 'forget 44': 10.666666984558105, 'forget 55': 1.3333333730697632}","{'retain': 2.476987108730215, 'forget': 17.75999994506836, 'val': 0, 'test': 68.09361873137567, 'forget 1': 5.200000286102295, 'forget 51': 0.0, 'forget 101': 34.0, 'forget 151': 0.4000000059604645, 'forget 198': 49.20000076293945}","{'retain': 0.6481078289400399, 'forget': 0.0, 'val': 0, 'test': 0.7201440288057611, 'forget 1': 0.0, 'forget 51': 0.0, 'forget 101': 0.0, 'forget 151': 0.0, 'forget 198': 0.0}","{'retain': 84.41728394308208, 'forget': 94.64444438566984, 'val': 86.8999999186198, 'test': 100.0, 'forget 1': 98.0000001695421, 'forget 3': 90.55555549904152, 'forget 5': 95.07407401756004, 'forget 7': 94.11111105459707, 'forget 9': 95.48148159450955}","{'retain': 85.6962962925287, 'forget': 95.00740736445674, 'val': 88.18333335367838, 'test': 100.0, 'forget 1': 97.51851868806062, 'forget 3': 91.92592592592592, 'forget 5': 95.37037031385634, 'forget 7': 94.92592609546803, 'forget 9': 95.29629635281033}"
