,cifar10_resnet18,cifar10_vgg16,cifar100_resnet18,cifar100_vgg16,tinyimg_resnet18,tinyimg_vgg16,fmnist_resnet18,fmnist_vgg16
0,"[66.14, 53.67, 53.72, 32.04, 76.43]","[77.95, 70.0, 66.93, 9.44, 86.49]","[21.33, 10.76, 13.07, 100.0, 22.13]","[31.56, 15.73, 16.53, 100.0, 37.42]","[29.36, 16.32, 17.76, 100.0, 38.48]","[37.44, 19.36, 20.4, 99.92, 53.6]","[95.54, 93.86, 92.39, 17.94, 97.61]","[96.14, 94.61, 94.16, 27.81, 97.86]"
1,"[67.94, 56.44, 53.98, 30.19, 78.94]","[83.57, 76.94, 73.24, 25.72, 88.45]","[23.64, 12.89, 13.96, 100.0, 27.73]","[37.69, 74.58, 31.02, 0.0, 45.96]","[32.64, 18.96, 19.2, 100.0, 46.88]","[43.2, 24.48, 22.16, 99.68, 44.16]","[96.21, 94.3, 92.79, 35.45, 97.76]","[95.58, 92.96, 88.1, 17.23, 97.73]"
2,"[79.64, 74.67, 71.23, 64.74, 56.1]","[0, 0, 0, 0, 0]","[84.62, 85.78, 67.11, 100.0, 78.49]","[0, 0, 0, 0, 0]","[73.2, 82.88, 61.28, 100.0, 73.68]","[0, 0, 0, 0, 0]","[72.05, 59.81, 47.84, 63.08, 75.91]","[0, 0, 0, 0, 0]"
3,"[74.68, 81.96, 40.8, 13.54, 75.77]","[53.49, 61.26, 39.05, 55.48, 59.08]","[27.29, 7.73, 42.13, 0.0, 41.07]","[89.16, 87.02, 48.71, 0.0, 40.62]","[40.72, 56.16, 16.8, 100.0, 82.0]","[32.96, 33.76, 46.96, 100.0, 90.88]","[79.72, 22.61, 53.85, 23.04, 82.49]","[70.48, 82.73, 64.33, 45.79, 36.13]"
4,"[65.99, 73.74, 42.14, 30.61, 66.69]","[72.72, 35.1, 50.5, 53.07, 75.54]","[78.31, 76.36, 37.24, 100.0, 72.89]","[79.02, 79.38, 58.22, 0.0, 54.22]","[18.24, 8.16, 27.6, 100.0, 39.92]","[51.36, 44.16, 52.16, 100.0, 44.32]","[84.81, 90.68, 61.19, 62.52, 88.61]","[42.93, 78.25, 88.48, 7.29, 93.68]"
5,"[78.22, 74.51, 38.15, 91.8, 65.99]","[44.35, 53.38, 32.04, 4.31, 61.66]","[77.24, 67.56, 42.13, 100.0, 38.31]","[59.2, 50.76, 68.62, 0.0, 35.11]","[87.2, 76.08, 58.64, 100.0, 57.6]","[71.36, 64.48, 45.28, 98.0, 50.96]","[92.96, 85.12, 71.27, 0.12, 97.21]","[60.65, 83.99, 82.24, 3.29, 99.46]"
