,cifar10_resnet18,cifar10_vgg16,cifar100_resnet18,cifar100_vgg16,tinyimg_resnet18,tinyimg_vgg16,fmnist_resnet18,fmnist_vgg16
retrain,"{'retain': 100.0, 'forget': 66.24888899197049, 'val': 74.46000001220703, 'test': 74.43, 'forget 0': 70.71111092122396, 'forget 1': 79.06666692437067, 'forget 3': 48.577777777777776, 'forget 5': 57.11111123657226, 'forget 6': 75.77777789984809}","{'retain': 100.0, 'forget': 77.6622222290039, 'val': 84.61999985351562, 'test': 84.61, 'forget 0': 81.06666701253255, 'forget 1': 89.24444432915581, 'forget 3': 65.95555573866102, 'forget 5': 66.80000009494357, 'forget 6': 85.24444452582465}","{'retain': 99.97720795999294, 'forget': 19.555555559794108, 'val': 44.29999998168945, 'test': 45.89, 'forget 11': 16.0, 'forget 22': 27.55555534362793, 'forget 33': 33.77777862548828, 'forget 44': 11.55555534362793, 'forget 55': 8.88888931274414}","{'retain': 99.98176636455133, 'forget': 28.80000004916721, 'val': 59.23999993896484, 'test': 59.42, 'forget 11': 24.88888931274414, 'forget 22': 46.66666793823242, 'forget 33': 46.22222137451172, 'forget 44': 11.55555534362793, 'forget 55': 14.666666984558105}","{'retain': 99.97974663034563, 'forget': 29.200000161743166, 'val': 0, 'test': 35.807161390316395, 'forget 1': 56.0, 'forget 51': 16.399999618530273, 'forget 101': 26.80000114440918, 'forget 151': 16.80000114440918, 'forget 198': 30.0}","{'retain': 99.97974663034563, 'forget': 38.7200003112793, 'val': 0, 'test': 49.68993796852022, 'forget 1': 60.0, 'forget 51': 31.200000762939453, 'forget 101': 44.0, 'forget 151': 23.200000762939453, 'forget 198': 35.20000076293945}","{'retain': 100.0, 'forget': 95.82222222674335, 'val': 92.1500000406901, 'test': 91.54, 'forget 1': 98.6666668927228, 'forget 3': 90.0000001695421, 'forget 5': 97.70370370370371, 'forget 7': 95.55555555555556, 'forget 9': 97.18518546775535}","{'retain': 100.0, 'forget': 96.14814813684534, 'val': 93.34999997965495, 'test': 92.93, 'forget 1': 98.77777772126375, 'forget 3': 89.5925925925926, 'forget 5': 98.11111111111111, 'forget 7': 97.07407424361618, 'forget 9': 97.18518529821326}"
FT,"{'retain': 100.0, 'forget': 66.24888899197049, 'val': 74.46000001220703, 'test': 74.43, 'forget 0': 70.71111092122396, 'forget 1': 79.06666692437067, 'forget 3': 48.577777777777776, 'forget 5': 57.11111123657226, 'forget 6': 75.77777789984809}","{'retain': 100.0, 'forget': 77.6622222290039, 'val': 84.61999985351562, 'test': 84.61, 'forget 0': 81.06666701253255, 'forget 1': 89.24444432915581, 'forget 3': 65.95555573866102, 'forget 5': 66.80000009494357, 'forget 6': 85.24444452582465}","{'retain': 99.97720795999294, 'forget': 19.555555559794108, 'val': 44.29999998168945, 'test': 45.89, 'forget 11': 16.0, 'forget 22': 27.55555534362793, 'forget 33': 33.77777862548828, 'forget 44': 11.55555534362793, 'forget 55': 8.88888931274414}","{'retain': 99.98176636455133, 'forget': 28.80000004916721, 'val': 59.23999993896484, 'test': 59.42, 'forget 11': 24.88888931274414, 'forget 22': 46.66666793823242, 'forget 33': 46.22222137451172, 'forget 44': 11.55555534362793, 'forget 55': 14.666666984558105}","{'retain': 99.97974663034563, 'forget': 29.200000161743166, 'val': 0, 'test': 35.807161390316395, 'forget 1': 56.0, 'forget 51': 16.399999618530273, 'forget 101': 26.80000114440918, 'forget 151': 16.80000114440918, 'forget 198': 30.0}","{'retain': 99.97974663034563, 'forget': 38.7200003112793, 'val': 0, 'test': 49.68993796852022, 'forget 1': 60.0, 'forget 51': 31.200000762939453, 'forget 101': 44.0, 'forget 151': 23.200000762939453, 'forget 198': 35.20000076293945}","{'retain': 100.0, 'forget': 95.82222222674335, 'val': 92.1500000406901, 'test': 91.54, 'forget 1': 98.6666668927228, 'forget 3': 90.0000001695421, 'forget 5': 97.70370370370371, 'forget 7': 95.55555555555556, 'forget 9': 97.18518546775535}","{'retain': 100.0, 'forget': 96.14814813684534, 'val': 93.34999997965495, 'test': 92.93, 'forget 1': 98.77777772126375, 'forget 3': 89.5925925925926, 'forget 5': 98.11111111111111, 'forget 7': 97.07407424361618, 'forget 9': 97.18518529821326}"
FF,"{'retain': 13.333333332965992, 'forget': 0.017777777777777778, 'val': 10.0, 'test': 10.02, 'forget 0': 0.0, 'forget 1': 0.0, 'forget 3': 0.0, 'forget 5': 0.08888888888888889, 'forget 6': 0.0}","[0, 0, 0, 0, 0]","{'retain': 0.9116809116157032, 'forget': 3.555555561701457, 'val': 0.84, 'test': 0.8, 'forget 11': 17.77777862548828, 'forget 22': 0.0, 'forget 33': 0.0, 'forget 44': 0.0, 'forget 55': 0.0}","[0, 0, 0, 0, 0]","{'retain': 0.5508916545990339, 'forget': 0.0, 'val': 0, 'test': 0.48009601920384076, 'forget 1': 0.0, 'forget 51': 0.0, 'forget 101': 0.0, 'forget 151': 0.0, 'forget 198': 0.0}","[0, 0, 0, 0, 0]","{'retain': 13.518518517199858, 'forget': 2.140740741305881, 'val': 10.35, 'test': 10.58, 'forget 1': 0.0, 'forget 3': 0.0, 'forget 5': 10.703703724896465, 'forget 7': 0.0, 'forget 9': 0.0}","[0, 0, 0, 0, 0]"
GA,"{'retain': 13.333333332965992, 'forget': 0.0, 'val': 10.0, 'test': 10.0, 'forget 0': 0.0, 'forget 1': 0.0, 'forget 3': 0.0, 'forget 5': 0.0, 'forget 6': 0.0}","{'retain': 13.33333333166617, 'forget': 0.0, 'val': 10.0, 'test': 10.0, 'forget 0': 0.0, 'forget 1': 0.0, 'forget 3': 0.0, 'forget 5': 0.0, 'forget 6': 0.0}","{'retain': 1.02564102541823, 'forget': 0.0, 'val': 1.0, 'test': 1.0, 'forget 11': 0.0, 'forget 22': 0.0, 'forget 33': 0.0, 'forget 44': 0.0, 'forget 55': 0.0}","{'retain': 1.0552706551592574, 'forget': 0.0, 'val': 1.02, 'test': 0.95, 'forget 11': 0.0, 'forget 22': 0.0, 'forget 33': 0.0, 'forget 44': 0.0, 'forget 55': 0.0}","{'retain': 0.5650690134826456, 'forget': 0.0, 'val': 0, 'test': 0.540108019935057, 'forget 1': 0.0, 'forget 51': 0.0, 'forget 101': 0.0, 'forget 151': 0.0, 'forget 198': 0.0}","{'retain': 0.7189946221122729, 'forget': 0.0, 'val': 0, 'test': 0.6201240124047148, 'forget 1': 0.0, 'forget 51': 0.0, 'forget 101': 0.0, 'forget 151': 0.0, 'forget 198': 0.0}","{'retain': 13.71358024634844, 'forget': 0.0, 'val': 10.316666666666666, 'test': 10.29, 'forget 1': 0.0, 'forget 3': 0.0, 'forget 5': 0.0, 'forget 7': 0.0, 'forget 9': 0.0}","{'retain': 13.898765431533626, 'forget': 0.0, 'val': 10.416666666666666, 'test': 10.43, 'forget 1': 0.0, 'forget 3': 0.0, 'forget 5': 0.0, 'forget 7': 0.0, 'forget 9': 0.0}"
IU,"{'retain': 13.333333334746184, 'forget': 0.0, 'val': 10.0, 'test': 10.0, 'forget 0': 0.0, 'forget 1': 0.0, 'forget 3': 0.0, 'forget 5': 0.0, 'forget 6': 0.0}","{'retain': 13.333333335593895, 'forget': 0.0, 'val': 10.0, 'test': 10.0, 'forget 0': 0.0, 'forget 1': 0.0, 'forget 3': 0.0, 'forget 5': 0.0, 'forget 6': 0.0}","{'retain': 1.0256410256410255, 'forget': 0.0, 'val': 1.0, 'test': 1.0, 'forget 11': 0.0, 'forget 22': 0.0, 'forget 33': 0.0, 'forget 44': 0.0, 'forget 55': 0.0}","{'retain': 1.0871794869566915, 'forget': 0.0, 'val': 0.9, 'test': 0.96, 'forget 11': 0.0, 'forget 22': 0.0, 'forget 33': 0.0, 'forget 44': 0.0, 'forget 55': 0.0}","{'retain': 0.5063342413594062, 'forget': 0.0, 'val': 0, 'test': 0.5001000200040008, 'forget 1': 0.0, 'forget 51': 0.0, 'forget 101': 0.0, 'forget 151': 0.0, 'forget 198': 0.0}","{'retain': 0.5063342413594062, 'forget': 0.0, 'val': 0, 'test': 0.5001000200040008, 'forget 1': 0.0, 'forget 51': 0.0, 'forget 101': 0.0, 'forget 151': 0.0, 'forget 198': 0.0}","{'retain': 13.333333332674004, 'forget': 0.0, 'val': 10.0, 'test': 10.0, 'forget 1': 0.0, 'forget 3': 0.0, 'forget 5': 0.0, 'forget 7': 0.0, 'forget 9': 0.0}","{'retain': 13.333333333050764, 'forget': 0.0, 'val': 10.0, 'test': 10.0, 'forget 1': 0.0, 'forget 3': 0.0, 'forget 5': 0.0, 'forget 7': 0.0, 'forget 9': 0.0}"
FT_prune,"{'retain': 29.819259256433558, 'forget': 0.0, 'val': 22.780000012207033, 'test': 22.54, 'forget 0': 0.0, 'forget 1': 0.0, 'forget 3': 0.0, 'forget 5': 0.0, 'forget 6': 0.0}","{'retain': 13.333333332994249, 'forget': 0.0, 'val': 10.0, 'test': 10.0, 'forget 0': 0.0, 'forget 1': 0.0, 'forget 3': 0.0, 'forget 5': 0.0, 'forget 6': 0.0}","{'retain': 2.283760683537888, 'forget': 0.0, 'val': 2.24, 'test': 2.25, 'forget 11': 0.0, 'forget 22': 0.0, 'forget 33': 0.0, 'forget 44': 0.0, 'forget 55': 0.0}","{'retain': 1.0940170940170941, 'forget': 0.17777777777777778, 'val': 1.1999999938964845, 'test': 1.01, 'forget 11': 0.0, 'forget 22': 0.0, 'forget 33': 0.8888888955116272, 'forget 44': 0.0, 'forget 55': 0.0}","{'retain': 0.522536936933215, 'forget': 0.0, 'val': 0, 'test': 0.48009601920384076, 'forget 1': 0.0, 'forget 51': 0.0, 'forget 101': 0.0, 'forget 151': 0.0, 'forget 198': 0.0}","{'retain': 0.5083595790008729, 'forget': 0.0, 'val': 0, 'test': 0.4800960185480585, 'forget 1': 0.0, 'forget 51': 0.0, 'forget 101': 0.0, 'forget 151': 0.0, 'forget 198': 0.0}","{'retain': 64.93333333182629, 'forget': 64.58518516031901, 'val': 64.63333337402344, 'test': 64.79, 'forget 1': 93.03703726309317, 'forget 3': 4.222222232818604, 'forget 5': 52.444444500958475, 'forget 7': 84.25925954182942, 'forget 9': 88.96296290644894}","{'retain': 21.298765431910386, 'forget': 4.577777778342918, 'val': 17.133333333333333, 'test': 17.18, 'forget 1': 0.037037037037037035, 'forget 3': 0.0, 'forget 5': 1.6666666684327303, 'forget 7': 21.148148176405165, 'forget 9': 0.037037037037037035}"
