,cifar10_resnet18,cifar10_vgg16,cifar100_resnet18,cifar100_vgg16,tinyimg_resnet18,tinyimg_vgg16,fmnist_resnet18,fmnist_vgg16
retrain,"{'correctness': 0.28328888888888887, 'confidence': 0.3054222222222222, 'entropy': 0.10657777777777777, 'm_entropy': 0.9168888888888889, 'prob': 0.7416888888888888}","{'correctness': 0.18524444444444443, 'confidence': 0.21244444444444444, 'entropy': 0.11591111111111112, 'm_entropy': 0.9989333333333333, 'prob': 0.9346666666666666}","{'correctness': 0.7431111111111111, 'confidence': 0.8506666666666667, 'entropy': 0.39466666666666667, 'm_entropy': 1.0, 'prob': 0.28888888888888886}","{'correctness': 0.6346666666666667, 'confidence': 0.696, 'entropy': 0.6462222222222223, 'm_entropy': 1.0, 'prob': 0.45155555555555554}","{'correctness': 0.6656, 'confidence': 0.6944, 'entropy': 0.7304, 'm_entropy': 1.0, 'prob': 0.7264}","{'correctness': 0.5584, 'confidence': 0.664, 'entropy': 0.7696, 'm_entropy': 1.0, 'prob': 0.5144}","{'correctness': 0.03562962962962963, 'confidence': 0.038148148148148146, 'entropy': 0.01074074074074074, 'm_entropy': 0.40244444444444444, 'prob': 0.9837777777777778}","{'correctness': 0.029703703703703704, 'confidence': 0.030666666666666665, 'entropy': 0.015259259259259259, 'm_entropy': 0.1217037037037037, 'prob': 0.9862962962962963}"
FT,"{'correctness': 0.28213333333333335, 'confidence': 0.3122666666666667, 'entropy': 0.12782222222222223, 'm_entropy': 0.9936, 'prob': 0.7351111111111112}","{'correctness': 0.18364444444444444, 'confidence': 0.20915555555555557, 'entropy': 0.10071111111111111, 'm_entropy': 0.9976888888888888, 'prob': 0.9344888888888889}","{'correctness': 0.7377777777777778, 'confidence': 0.7475555555555555, 'entropy': 0.7208888888888889, 'm_entropy': 1.0, 'prob': 0.3048888888888889}","{'correctness': 0.6257777777777778, 'confidence': 0.6791111111111111, 'entropy': 0.7342222222222222, 'm_entropy': 1.0, 'prob': 0.43555555555555553}","{'correctness': 0.6688, 'confidence': 0.6952, 'entropy': 0.7344, 'm_entropy': 1.0, 'prob': 0.7504}","{'correctness': 0.5616, 'confidence': 0.6176, 'entropy': 0.7472, 'm_entropy': 0.996, 'prob': 0.5384}","{'correctness': 0.036222222222222225, 'confidence': 0.03837037037037037, 'entropy': 0.011111111111111112, 'm_entropy': 0.3214814814814815, 'prob': 0.9831851851851852}","{'correctness': 0.029111111111111112, 'confidence': 0.03, 'entropy': 0.013333333333333334, 'm_entropy': 0.02725925925925926, 'prob': 0.9866666666666667}"
FF,"{'correctness': 0.45697777777777776, 'confidence': 0.48586666666666667, 'entropy': 0.20577777777777778, 'm_entropy': 0.9878222222222223, 'prob': 0.7631111111111111}","[0, 0, 0, 0, 0]","{'correctness': 1.0, 'confidence': 0.8097777777777778, 'entropy': 0.8773333333333333, 'm_entropy': 1.0, 'prob': 0.7155555555555555}","[0, 0, 0, 0, 0]","{'correctness': 0.9336, 'confidence': 0.9456, 'entropy': 0.7824, 'm_entropy': 1.0, 'prob': 0.0912}","[0, 0, 0, 0, 0]","{'correctness': 0.06051851851851852, 'confidence': 0.064, 'entropy': 0.02259259259259259, 'm_entropy': 0.9997777777777778, 'prob': 0.9805185185185186}","[0, 0, 0, 0, 0]"
GA,"{'correctness': 0.4437333333333333, 'confidence': 0.4688888888888889, 'entropy': 0.18364444444444444, 'm_entropy': 0.976, 'prob': 0.7490666666666667}","{'correctness': 0.42044444444444445, 'confidence': 0.47315555555555555, 'entropy': 0.2320888888888889, 'm_entropy': 0.9979555555555556, 'prob': 0.7100444444444445}","{'correctness': 0.9128888888888889, 'confidence': 0.9351111111111111, 'entropy': 0.7057777777777777, 'm_entropy': 0.0, 'prob': 0.21244444444444444}","{'correctness': 0.8808888888888889, 'confidence': 0.9342222222222222, 'entropy': 0.6497777777777778, 'm_entropy': 1.0, 'prob': 0.49777777777777776}","{'correctness': 0.8848, 'confidence': 0.9056, 'entropy': 0.7608, 'm_entropy': 1.0, 'prob': 0.0536}","{'correctness': 1.0, 'confidence': 1.0, 'entropy': 0.1352, 'm_entropy': 1.0, 'prob': 0.9992}","{'correctness': 0.06096296296296296, 'confidence': 0.06459259259259259, 'entropy': 0.021777777777777778, 'm_entropy': 1.0, 'prob': 0.9791851851851852}","{'correctness': 0.0517037037037037, 'confidence': 0.05644444444444444, 'entropy': 0.021925925925925925, 'm_entropy': 1.0, 'prob': 0.9841481481481481}"
IU,"{'correctness': 0.4017777777777778, 'confidence': 0.41404444444444444, 'entropy': 0.12186666666666666, 'm_entropy': 0.8939555555555555, 'prob': 0.6984}","{'correctness': 0.39093333333333335, 'confidence': 0.45013333333333333, 'entropy': 0.23324444444444445, 'm_entropy': 0.9994666666666666, 'prob': 0.7225777777777778}","{'correctness': 0.928, 'confidence': 0.936, 'entropy': 0.6142222222222222, 'm_entropy': 0.0, 'prob': 0.5466666666666666}","{'correctness': 0.8648888888888889, 'confidence': 0.92, 'entropy': 0.6168888888888889, 'm_entropy': 0.0, 'prob': 0.057777777777777775}","{'correctness': 1.0, 'confidence': 1.0, 'entropy': 0.9936, 'm_entropy': 1.0, 'prob': 0.9984}","{'correctness': 0.1632, 'confidence': 0.0712, 'entropy': 0.3288, 'm_entropy': 1.0, 'prob': 0.0744}","{'correctness': 0.06518518518518518, 'confidence': 0.9397037037037037, 'entropy': 0.8546666666666667, 'm_entropy': 0.3951851851851852, 'prob': 0.9775555555555555}","{'correctness': 0.05622222222222222, 'confidence': 0.059925925925925924, 'entropy': 0.02074074074074074, 'm_entropy': 1.0, 'prob': 0.9808148148148148}"
FT_prune,"{'correctness': 0.4129777777777778, 'confidence': 0.4245333333333333, 'entropy': 0.07466666666666667, 'm_entropy': 0.9974222222222222, 'prob': 0.7136}","{'correctness': 0.3799111111111111, 'confidence': 0.40915555555555555, 'entropy': 0.1313777777777778, 'm_entropy': 0.9993777777777778, 'prob': 0.6792}","{'correctness': 0.8702222222222222, 'confidence': 0.9111111111111111, 'entropy': 0.5484444444444444, 'm_entropy': 1.0, 'prob': 0.26666666666666666}","{'correctness': 0.888, 'confidence': 0.8862222222222222, 'entropy': 0.6293333333333333, 'm_entropy': 0.0, 'prob': 0.5537777777777778}","{'correctness': 0.8224, 'confidence': 0.8608, 'entropy': 0.6824, 'm_entropy': 1.0, 'prob': 0.0616}","{'correctness': 1.0, 'confidence': 1.0, 'entropy': 0.1144, 'm_entropy': 1.0, 'prob': 0.9944}","{'correctness': 0.05355555555555556, 'confidence': 0.05488888888888889, 'entropy': 0.008518518518518519, 'm_entropy': 1.0, 'prob': 0.979925925925926}","{'correctness': 0.04992592592592593, 'confidence': 0.0517037037037037, 'entropy': 0.011185185185185185, 'm_entropy': 1.0, 'prob': 0.982}"
