,cifar10_resnet18,cifar10_vgg16,cifar100_resnet18,cifar100_vgg16,tinyimg_resnet18,tinyimg_vgg16,fmnist_resnet18,fmnist_vgg16
retrain,"{'retain': 99.86074074074074, 'forget': 69.40444439425998, 'val': 75.4, 'test': 81.4, 'forget 0': 75.95555525716146, 'forget 1': 81.73333315022786, 'forget 3': 51.02222230021159, 'forget 5': 59.64444438340929, 'forget 6': 78.66666668023004}","{'retain': 99.97925925925927, 'forget': 80.808888933648, 'val': 85.62000004882813, 'test': 88.62, 'forget 0': 85.24444432915581, 'forget 1': 90.75555577256945, 'forget 3': 70.22222203233507, 'forget 5': 70.35555563015409, 'forget 6': 87.4666669921875}","{'retain': 99.92934471212969, 'forget': 22.13333341301812, 'val': 45.34, 'test': 51.01, 'forget 11': 15.55555534362793, 'forget 22': 28.0, 'forget 33': 44.88888931274414, 'forget 44': 13.777777671813965, 'forget 55': 8.44444465637207}","{'retain': 99.96581194859692, 'forget': 32.88888890245226, 'val': 60.179999926757816, 'test': 64.37, 'forget 11': 28.0, 'forget 22': 48.0, 'forget 33': 59.55555725097656, 'forget 44': 11.55555534362793, 'forget 55': 17.33333396911621}","{'retain': 99.8602517493848, 'forget': 39.19999978027344, 'val': 0, 'test': 41.208241640698745, 'forget 1': 70.80000305175781, 'forget 51': 18.399999618530273, 'forget 101': 34.79999923706055, 'forget 151': 24.80000114440918, 'forget 198': 47.20000076293945}","{'retain': 99.82582102483539, 'forget': 53.839999829101565, 'val': 0, 'test': 55.391078173673066, 'forget 1': 74.80000305175781, 'forget 51': 42.0, 'forget 101': 57.60000228881836, 'forget 151': 36.400001525878906, 'forget 198': 58.400001525878906}","{'retain': 99.90864197530864, 'forget': 96.22222222674334, 'val': 92.48333337402343, 'test': 93.41, 'forget 1': 98.48148176405165, 'forget 3': 91.44444444444444, 'forget 5': 98.0, 'forget 7': 95.88888911494503, 'forget 9': 97.29629623978227}","{'retain': 99.99012345679013, 'forget': 96.59999998869719, 'val': 93.58333331298829, 'test': 94.37, 'forget 1': 98.77777772126375, 'forget 3': 91.5925925925926, 'forget 5': 98.14814814814815, 'forget 7': 97.07407418710214, 'forget 9': 97.40740746392144}"
FT,"{'retain': 99.90814812870732, 'forget': 70.15999996066623, 'val': 76.05999986572266, 'test': 80.61, 'forget 0': 76.5333334350586, 'forget 1': 83.24444434950087, 'forget 3': 52.977777757432726, 'forget 5': 56.844444413926865, 'forget 6': 81.19999983723959}","{'retain': 99.96148148148148, 'forget': 82.59555559217665, 'val': 86.35999992675781, 'test': 89.47, 'forget 0': 86.40000030517578, 'forget 1': 91.33333319769966, 'forget 3': 73.37777756754558, 'forget 5': 73.91111107720269, 'forget 6': 87.95555563693577}","{'retain': 99.9430199258049, 'forget': 23.733333387586807, 'val': 46.45999998779297, 'test': 51.83, 'forget 11': 16.88888931274414, 'forget 22': 28.44444465637207, 'forget 33': 47.11111068725586, 'forget 44': 14.222222328186035, 'forget 55': 12.0}","{'retain': 99.96581194859692, 'forget': 38.40000013902452, 'val': 59.09999992675781, 'test': 64.15, 'forget 11': 29.77777862548828, 'forget 22': 54.66666793823242, 'forget 33': 61.33333206176758, 'forget 44': 26.22222328186035, 'forget 55': 20.0}","{'retain': 99.93417654862327, 'forget': 39.04, 'val': 0, 'test': 40.84816959958764, 'forget 1': 74.0, 'forget 51': 17.600000381469727, 'forget 101': 38.400001525878906, 'forget 151': 16.80000114440918, 'forget 198': 48.400001525878906}","{'retain': 99.95037924434678, 'forget': 48.32000016479492, 'val': 0, 'test': 52.890578107992205, 'forget 1': 77.20000457763672, 'forget 51': 30.80000114440918, 'forget 101': 54.0, 'forget 151': 30.0, 'forget 198': 49.60000228881836}","{'retain': 99.86913580246913, 'forget': 96.82962960250289, 'val': 92.18333337402343, 'test': 93.67, 'forget 1': 98.51851874457465, 'forget 3': 93.00000022605613, 'forget 5': 98.51851851851852, 'forget 7': 97.22222239176432, 'forget 9': 96.88888888888889}","{'retain': 99.99012345679013, 'forget': 97.38518515805845, 'val': 93.43333337402343, 'test': 94.45, 'forget 1': 98.96296324553313, 'forget 3': 93.81481487132885, 'forget 5': 98.9259258694119, 'forget 7': 97.55555583812573, 'forget 9': 97.66666677969474}"
FF,"{'retain': 98.4651852041739, 'forget': 95.66222219509548, 'val': 77.21999995117187, 'test': 82.76, 'forget 0': 91.06666661919488, 'forget 1': 99.95555555555555, 'forget 3': 93.42222226291233, 'forget 5': 96.13333335367838, 'forget 6': 97.73333368598091}","[0, 0, 0, 0, 0]","{'retain': 95.02450142241476, 'forget': 96.88888873291016, 'val': 43.339999996948244, 'test': 52.34, 'forget 11': 94.22222137451172, 'forget 22': 98.22222137451172, 'forget 33': 98.66666412353516, 'forget 44': 97.77777862548828, 'forget 55': 95.55555725097656}","[0, 0, 0, 0, 0]","{'retain': 82.70767299110233, 'forget': 96.95999978027344, 'val': 0, 'test': 39.00780152978838, 'forget 1': 100.0, 'forget 51': 94.4000015258789, 'forget 101': 94.4000015258789, 'forget 151': 98.0, 'forget 198': 98.0}","[0, 0, 0, 0, 0]","{'retain': 96.74320987202209, 'forget': 90.75555557137949, 'val': 89.28333335367839, 'test': 92.75, 'forget 1': 99.92592592592592, 'forget 3': 59.03703703703704, 'forget 5': 99.11111105459707, 'forget 7': 95.81481498435691, 'forget 9': 99.88888883237486}","[0, 0, 0, 0, 0]"
GA,"{'retain': 99.25925927824798, 'forget': 92.13333343777127, 'val': 77.30000001220704, 'test': 81.37, 'forget 0': 93.24444415283203, 'forget 1': 92.13333328586154, 'forget 3': 91.86666646321615, 'forget 5': 91.24444424099393, 'forget 6': 92.17777808295357}","{'retain': 96.56888888798467, 'forget': 82.3911111368815, 'val': 81.99999986572266, 'test': 85.04, 'forget 0': 87.51111128065321, 'forget 1': 61.60000003729926, 'forget 3': 86.9333333468967, 'forget 5': 84.26666657172309, 'forget 6': 91.64444448513454}","{'retain': 99.85641023849965, 'forget': 93.86666653103299, 'val': 46.060000006103515, 'test': 53.06, 'forget 11': 94.22222137451172, 'forget 22': 92.44444274902344, 'forget 33': 91.55555725097656, 'forget 44': 97.77777862548828, 'forget 55': 93.33333587646484}","{'retain': 99.94074072352569, 'forget': 89.9555557929145, 'val': 59.719999975585935, 'test': 65.46, 'forget 11': 93.77777862548828, 'forget 22': 80.8888931274414, 'forget 33': 96.0, 'forget 44': 89.77777862548828, 'forget 55': 89.33333587646484}","{'retain': 99.84708705910946, 'forget': 99.20000063476563, 'val': 0, 'test': 41.36827367380825, 'forget 1': 99.5999984741211, 'forget 51': 98.0, 'forget 101': 99.20000457763672, 'forget 151': 99.5999984741211, 'forget 198': 99.5999984741211}","{'retain': 99.92101186221096, 'forget': 99.03999989013671, 'val': 0, 'test': 55.85117019589221, 'forget 1': 98.80000305175781, 'forget 51': 97.5999984741211, 'forget 101': 99.5999984741211, 'forget 151': 100.0, 'forget 198': 99.20000457763672}","{'retain': 99.44197530864197, 'forget': 96.54814815266927, 'val': 92.11666658528645, 'test': 93.11, 'forget 1': 99.29629623978227, 'forget 3': 92.22222239176432, 'forget 5': 98.62962962962963, 'forget 7': 99.00000028257017, 'forget 9': 93.5925925925926}","{'retain': 87.22469135124301, 'forget': 50.0222222120497, 'val': 73.96666666666667, 'test': 91.34, 'forget 1': 10.666666673730921, 'forget 3': 97.18518535472728, 'forget 5': 60.407407407407405, 'forget 7': 61.185185298213256, 'forget 9': 20.666666652538158}"
IU,"{'retain': 99.82222222222222, 'forget': 97.08444441731771, 'val': 78.79999998779297, 'test': 83.2, 'forget 0': 98.44444420030382, 'forget 1': 96.31111104329428, 'forget 3': 96.84444455295139, 'forget 5': 97.51111095513238, 'forget 6': 96.31111104329428}","{'retain': 96.63703702663845, 'forget': 81.20000001763238, 'val': 81.27999987792968, 'test': 84.37, 'forget 0': 87.82222203911675, 'forget 1': 63.68888874986437, 'forget 3': 87.1555558810764, 'forget 5': 76.88888865831163, 'forget 6': 90.44444448513455}","{'retain': 99.85868944147441, 'forget': 96.17777779812283, 'val': 46.240000006103514, 'test': 53.53, 'forget 11': 97.77777862548828, 'forget 22': 92.8888931274414, 'forget 33': 94.22222137451172, 'forget 44': 99.11111450195312, 'forget 55': 96.8888931274414}","{'retain': 99.96353274631772, 'forget': 94.93333304172091, 'val': 60.079999938964846, 'test': 65.63, 'forget 11': 92.44444274902344, 'forget 22': 94.66666412353516, 'forget 33': 97.77777862548828, 'forget 44': 99.11111450195312, 'forget 55': 90.66666412353516}","{'retain': 99.902783825659, 'forget': 98.71999978027344, 'val': 0, 'test': 43.548709711424706, 'forget 1': 99.20000457763672, 'forget 51': 98.0, 'forget 101': 98.4000015258789, 'forget 151': 100.0, 'forget 198': 98.0}","{'retain': 99.90582183883319, 'forget': 98.48000083007813, 'val': 0, 'test': 56.4112822068503, 'forget 1': 99.5999984741211, 'forget 51': 98.4000015258789, 'forget 101': 99.5999984741211, 'forget 151': 99.20000457763672, 'forget 198': 95.5999984741211}","{'retain': 95.19999999547888, 'forget': 81.83703698730469, 'val': 86.46666666666667, 'test': 90.35, 'forget 1': 99.48148148148148, 'forget 3': 84.44444455747251, 'forget 5': 88.5925925925926, 'forget 7': 40.7037037037037, 'forget 9': 95.96296296296296}","{'retain': 94.53827160569179, 'forget': 75.94814814362702, 'val': 85.26666666666667, 'test': 91.19, 'forget 1': 22.74074075486925, 'forget 3': 77.29629629629629, 'forget 5': 93.77777777777777, 'forget 7': 87.81481509738498, 'forget 9': 98.11111122413918}"
FT_prune,"{'retain': 66.82074075339989, 'forget': 55.25333335232205, 'val': 62.259999975585934, 'test': 69.26, 'forget 0': 62.266666517469616, 'forget 1': 67.68888869900174, 'forget 3': 38.933333248562285, 'forget 5': 38.044444495307076, 'forget 6': 69.33333321126302}","{'retain': 72.41777776195384, 'forget': 71.06666665445964, 'val': 69.49999990234375, 'test': 84.67, 'forget 0': 80.88888907877605, 'forget 1': 90.2222224392361, 'forget 3': 43.28888899739583, 'forget 5': 65.06666676161025, 'forget 6': 75.86666670057508}","{'retain': 82.39999998747997, 'forget': 18.488888903299966, 'val': 44.159999951171876, 'test': 56.94, 'forget 11': 21.77777862548828, 'forget 22': 26.22222328186035, 'forget 33': 37.77777862548828, 'forget 44': 4.44444465637207, 'forget 55': 2.222222328186035}","{'retain': 66.64387463674518, 'forget': 27.02222228664822, 'val': 49.5, 'test': 75.29, 'forget 11': 11.111111640930176, 'forget 22': 44.4444465637207, 'forget 33': 60.88888931274414, 'forget 44': 18.66666603088379, 'forget 55': 0.0}","{'retain': 85.6565636130113, 'forget': 52.80000032348633, 'val': 0, 'test': 47.50950189274916, 'forget 1': 88.0, 'forget 51': 21.200000762939453, 'forget 101': 56.0, 'forget 151': 36.0, 'forget 198': 62.79999923706055}","{'retain': 88.61153024148999, 'forget': 52.48000021972656, 'val': 0, 'test': 59.13182634238029, 'forget 1': 83.20000457763672, 'forget 51': 37.60000228881836, 'forget 101': 56.400001525878906, 'forget 151': 33.20000076293945, 'forget 198': 52.0}","{'retain': 29.71604938158577, 'forget': 35.02962963019477, 'val': 31.2, 'test': 31.33, 'forget 1': 76.22222239176432, 'forget 3': 0.0, 'forget 5': 0.0, 'forget 7': 98.92592592592592, 'forget 9': 0.0}","{'retain': 82.63703703025536, 'forget': 93.86666668701172, 'val': 85.43333331298828, 'test': 85.96, 'forget 1': 96.55555555555556, 'forget 3': 89.33333355938947, 'forget 5': 94.11111133716724, 'forget 7': 95.14814831769024, 'forget 9': 94.18518541124132}"
