,cifar10_resnet18,cifar10_vgg16,cifar100_resnet18,cifar100_vgg16,tinyimg_resnet18,tinyimg_vgg16,fmnist_resnet18,fmnist_vgg16
retrain,"{'test_acc': 1.0, 'forget_acc': 0.5749333333333333, 'forget_label_0': 0.6706666666666666, 'forget_label_1': 0.7031111111111111, 'forget_label_3': 0.37733333333333335, 'forget_label_5': 0.4497777777777778, 'forget_label_6': 0.6737777777777778}","{'test_acc': 1.0, 'forget_acc': 0.5749333333333333, 'forget_label_0': 0.6706666666666666, 'forget_label_1': 0.7031111111111111, 'forget_label_3': 0.37733333333333335, 'forget_label_5': 0.4497777777777778, 'forget_label_6': 0.6737777777777778}","{'test_acc': 0.9997, 'forget_acc': 0.11288888888888889, 'forget_label_11': 0.10222222222222223, 'forget_label_22': 0.1288888888888889, 'forget_label_33': 0.2311111111111111, 'forget_label_44': 0.03111111111111111, 'forget_label_55': 0.07111111111111111}","{'test_acc': 0.9997, 'forget_acc': 0.11288888888888889, 'forget_label_11': 0.10222222222222223, 'forget_label_22': 0.1288888888888889, 'forget_label_33': 0.2311111111111111, 'forget_label_44': 0.03111111111111111, 'forget_label_55': 0.07111111111111111}","{'test_acc': 1.0, 'forget_acc': 0.0672, 'forget_label_1': 0.036, 'forget_label_51': 0.008, 'forget_label_101': 0.148, 'forget_label_151': 0.028, 'forget_label_198': 0.116}","{'test_acc': 1.0, 'forget_acc': 0.0672, 'forget_label_1': 0.036, 'forget_label_51': 0.008, 'forget_label_101': 0.148, 'forget_label_151': 0.028, 'forget_label_198': 0.116}","{'test_acc': 0.9863, 'forget_acc': 0.9418518518518518, 'forget_label_1': 0.9751851851851852, 'forget_label_3': 0.8914814814814814, 'forget_label_5': 0.9488888888888889, 'forget_label_7': 0.9355555555555556, 'forget_label_9': 0.9581481481481482}","{'test_acc': 0.9863, 'forget_acc': 0.9418518518518518, 'forget_label_1': 0.9751851851851852, 'forget_label_3': 0.8914814814814814, 'forget_label_5': 0.9488888888888889, 'forget_label_7': 0.9355555555555556, 'forget_label_9': 0.9581481481481482}"
FT,"{'test_acc': 1.0, 'forget_acc': 0.5749333333333333, 'forget_label_0': 0.6706666666666666, 'forget_label_1': 0.7031111111111111, 'forget_label_3': 0.37733333333333335, 'forget_label_5': 0.4497777777777778, 'forget_label_6': 0.6737777777777778}","{'test_acc': 1.0, 'forget_acc': 0.5749333333333333, 'forget_label_0': 0.6706666666666666, 'forget_label_1': 0.7031111111111111, 'forget_label_3': 0.37733333333333335, 'forget_label_5': 0.4497777777777778, 'forget_label_6': 0.6737777777777778}","{'test_acc': 0.9997, 'forget_acc': 0.11288888888888889, 'forget_label_11': 0.10222222222222223, 'forget_label_22': 0.1288888888888889, 'forget_label_33': 0.2311111111111111, 'forget_label_44': 0.03111111111111111, 'forget_label_55': 0.07111111111111111}","{'test_acc': 0.9997, 'forget_acc': 0.11288888888888889, 'forget_label_11': 0.10222222222222223, 'forget_label_22': 0.1288888888888889, 'forget_label_33': 0.2311111111111111, 'forget_label_44': 0.03111111111111111, 'forget_label_55': 0.07111111111111111}","{'test_acc': 1.0, 'forget_acc': 0.0672, 'forget_label_1': 0.036, 'forget_label_51': 0.008, 'forget_label_101': 0.148, 'forget_label_151': 0.028, 'forget_label_198': 0.116}","{'test_acc': 1.0, 'forget_acc': 0.0672, 'forget_label_1': 0.036, 'forget_label_51': 0.008, 'forget_label_101': 0.148, 'forget_label_151': 0.028, 'forget_label_198': 0.116}","{'test_acc': 0.9863, 'forget_acc': 0.9418518518518518, 'forget_label_1': 0.9751851851851852, 'forget_label_3': 0.8914814814814814, 'forget_label_5': 0.9488888888888889, 'forget_label_7': 0.9355555555555556, 'forget_label_9': 0.9581481481481482}","{'test_acc': 0.9863, 'forget_acc': 0.9418518518518518, 'forget_label_1': 0.9751851851851852, 'forget_label_3': 0.8914814814814814, 'forget_label_5': 0.9488888888888889, 'forget_label_7': 0.9355555555555556, 'forget_label_9': 0.9581481481481482}"
FF,"{'test_acc': 1.0, 'forget_acc': 0.5749333333333333, 'forget_label_0': 0.6706666666666666, 'forget_label_1': 0.7031111111111111, 'forget_label_3': 0.37733333333333335, 'forget_label_5': 0.4497777777777778, 'forget_label_6': 0.6737777777777778}","[0, 0, 0, 0, 0]","{'test_acc': 0.9997, 'forget_acc': 0.11288888888888889, 'forget_label_11': 0.10222222222222223, 'forget_label_22': 0.1288888888888889, 'forget_label_33': 0.2311111111111111, 'forget_label_44': 0.03111111111111111, 'forget_label_55': 0.07111111111111111}","[0, 0, 0, 0, 0]","{'test_acc': 1.0, 'forget_acc': 0.0672, 'forget_label_1': 0.036, 'forget_label_51': 0.008, 'forget_label_101': 0.148, 'forget_label_151': 0.028, 'forget_label_198': 0.116}","[0, 0, 0, 0, 0]","{'test_acc': 0.9863, 'forget_acc': 0.9418518518518518, 'forget_label_1': 0.9751851851851852, 'forget_label_3': 0.8914814814814814, 'forget_label_5': 0.9488888888888889, 'forget_label_7': 0.9355555555555556, 'forget_label_9': 0.9581481481481482}","[0, 0, 0, 0, 0]"
GA,"{'test_acc': 1.0, 'forget_acc': 0.5749333333333333, 'forget_label_0': 0.6706666666666666, 'forget_label_1': 0.7031111111111111, 'forget_label_3': 0.37733333333333335, 'forget_label_5': 0.4497777777777778, 'forget_label_6': 0.6737777777777778}","{'test_acc': 1.0, 'forget_acc': 0.5749333333333333, 'forget_label_0': 0.6706666666666666, 'forget_label_1': 0.7031111111111111, 'forget_label_3': 0.37733333333333335, 'forget_label_5': 0.4497777777777778, 'forget_label_6': 0.6737777777777778}","{'test_acc': 0.9997, 'forget_acc': 0.11288888888888889, 'forget_label_11': 0.10222222222222223, 'forget_label_22': 0.1288888888888889, 'forget_label_33': 0.2311111111111111, 'forget_label_44': 0.03111111111111111, 'forget_label_55': 0.07111111111111111}","{'test_acc': 0.9997, 'forget_acc': 0.11288888888888889, 'forget_label_11': 0.10222222222222223, 'forget_label_22': 0.1288888888888889, 'forget_label_33': 0.2311111111111111, 'forget_label_44': 0.03111111111111111, 'forget_label_55': 0.07111111111111111}","{'test_acc': 1.0, 'forget_acc': 0.0672, 'forget_label_1': 0.036, 'forget_label_51': 0.008, 'forget_label_101': 0.148, 'forget_label_151': 0.028, 'forget_label_198': 0.116}","{'test_acc': 1.0, 'forget_acc': 0.0672, 'forget_label_1': 0.036, 'forget_label_51': 0.008, 'forget_label_101': 0.148, 'forget_label_151': 0.028, 'forget_label_198': 0.116}","{'test_acc': 0.9863, 'forget_acc': 0.9418518518518518, 'forget_label_1': 0.9751851851851852, 'forget_label_3': 0.8914814814814814, 'forget_label_5': 0.9488888888888889, 'forget_label_7': 0.9355555555555556, 'forget_label_9': 0.9581481481481482}","{'test_acc': 0.9863, 'forget_acc': 0.9418518518518518, 'forget_label_1': 0.9751851851851852, 'forget_label_3': 0.8914814814814814, 'forget_label_5': 0.9488888888888889, 'forget_label_7': 0.9355555555555556, 'forget_label_9': 0.9581481481481482}"
IU,"{'test_acc': 1.0, 'forget_acc': 0.5749333333333333, 'forget_label_0': 0.6706666666666666, 'forget_label_1': 0.7031111111111111, 'forget_label_3': 0.37733333333333335, 'forget_label_5': 0.4497777777777778, 'forget_label_6': 0.6737777777777778}","{'test_acc': 1.0, 'forget_acc': 0.5749333333333333, 'forget_label_0': 0.6706666666666666, 'forget_label_1': 0.7031111111111111, 'forget_label_3': 0.37733333333333335, 'forget_label_5': 0.4497777777777778, 'forget_label_6': 0.6737777777777778}","{'test_acc': 0.9997, 'forget_acc': 0.11288888888888889, 'forget_label_11': 0.10222222222222223, 'forget_label_22': 0.1288888888888889, 'forget_label_33': 0.2311111111111111, 'forget_label_44': 0.03111111111111111, 'forget_label_55': 0.07111111111111111}","{'test_acc': 0.9997, 'forget_acc': 0.11288888888888889, 'forget_label_11': 0.10222222222222223, 'forget_label_22': 0.1288888888888889, 'forget_label_33': 0.2311111111111111, 'forget_label_44': 0.03111111111111111, 'forget_label_55': 0.07111111111111111}","{'test_acc': 1.0, 'forget_acc': 0.0672, 'forget_label_1': 0.036, 'forget_label_51': 0.008, 'forget_label_101': 0.148, 'forget_label_151': 0.028, 'forget_label_198': 0.116}","{'test_acc': 1.0, 'forget_acc': 0.0672, 'forget_label_1': 0.036, 'forget_label_51': 0.008, 'forget_label_101': 0.148, 'forget_label_151': 0.028, 'forget_label_198': 0.116}","{'test_acc': 0.9863, 'forget_acc': 0.9418518518518518, 'forget_label_1': 0.9751851851851852, 'forget_label_3': 0.8914814814814814, 'forget_label_5': 0.9488888888888889, 'forget_label_7': 0.9355555555555556, 'forget_label_9': 0.9581481481481482}","{'test_acc': 0.9863, 'forget_acc': 0.9418518518518518, 'forget_label_1': 0.9751851851851852, 'forget_label_3': 0.8914814814814814, 'forget_label_5': 0.9488888888888889, 'forget_label_7': 0.9355555555555556, 'forget_label_9': 0.9581481481481482}"
FT_prune,"{'test_acc': 1.0, 'forget_acc': 0.5749333333333333, 'forget_label_0': 0.6706666666666666, 'forget_label_1': 0.7031111111111111, 'forget_label_3': 0.37733333333333335, 'forget_label_5': 0.4497777777777778, 'forget_label_6': 0.6737777777777778}","{'test_acc': 1.0, 'forget_acc': 0.5749333333333333, 'forget_label_0': 0.6706666666666666, 'forget_label_1': 0.7031111111111111, 'forget_label_3': 0.37733333333333335, 'forget_label_5': 0.4497777777777778, 'forget_label_6': 0.6737777777777778}","{'test_acc': 0.9997, 'forget_acc': 0.11288888888888889, 'forget_label_11': 0.10222222222222223, 'forget_label_22': 0.1288888888888889, 'forget_label_33': 0.2311111111111111, 'forget_label_44': 0.03111111111111111, 'forget_label_55': 0.07111111111111111}","{'test_acc': 0.9997, 'forget_acc': 0.11288888888888889, 'forget_label_11': 0.10222222222222223, 'forget_label_22': 0.1288888888888889, 'forget_label_33': 0.2311111111111111, 'forget_label_44': 0.03111111111111111, 'forget_label_55': 0.07111111111111111}","{'test_acc': 1.0, 'forget_acc': 0.0672, 'forget_label_1': 0.036, 'forget_label_51': 0.008, 'forget_label_101': 0.148, 'forget_label_151': 0.028, 'forget_label_198': 0.116}","{'test_acc': 1.0, 'forget_acc': 0.0672, 'forget_label_1': 0.036, 'forget_label_51': 0.008, 'forget_label_101': 0.148, 'forget_label_151': 0.028, 'forget_label_198': 0.116}","{'test_acc': 0.9863, 'forget_acc': 0.9418518518518518, 'forget_label_1': 0.9751851851851852, 'forget_label_3': 0.8914814814814814, 'forget_label_5': 0.9488888888888889, 'forget_label_7': 0.9355555555555556, 'forget_label_9': 0.9581481481481482}","{'test_acc': 0.9863, 'forget_acc': 0.9418518518518518, 'forget_label_1': 0.9751851851851852, 'forget_label_3': 0.8914814814814814, 'forget_label_5': 0.9488888888888889, 'forget_label_7': 0.9355555555555556, 'forget_label_9': 0.9581481481481482}"
