,cifar10_resnet18,cifar10_vgg16,cifar100_resnet18,cifar100_vgg16,tinyimg_resnet18,tinyimg_vgg16,fmnist_resnet18,fmnist_vgg16
0,"[87.69, 86.99, 74.7, 42.93, 55.57]","[92.46, 90.54, 83.96, 32.76, 57.34]","[84.89, 80.89, 65.33, 100.0, 71.47]","[81.51, 71.56, 57.6, 100.0, 81.87]","[99.36, 98.96, 95.68, 100.0, 60.16]","[98.72, 96.72, 90.24, 100.0, 59.04]","[99.4, 98.53, 97.79, 2.3, 79.88]","[99.36, 98.89, 98.5, 3.55, 79.97]"
1,"[88.58, 87.76, 75.55, 38.14, 57.32]","[94.3, 91.26, 87.67, 14.36, 77.13]","[83.64, 77.42, 60.62, 100.0, 88.09]","[84.8, 75.29, 61.24, 100.0, 82.04]","[99.68, 99.28, 96.96, 100.0, 60.0]","[99.6, 98.96, 94.24, 100.0, 59.84]","[99.5, 98.65, 98.15, 8.68, 99.93]","[99.59, 98.99, 98.5, 0.0, 99.96]"
2,"[99.84, 98.25, 93.98, 3.81, 98.9]","[0, 0, 0, 0, 0]","[92.44, 92.09, 66.84, 100.0, 88.8]","[0, 0, 0, 0, 0]","[94.72, 88.88, 71.6, 100.0, 86.16]","[0, 0, 0, 0, 0]","[99.99, 99.71, 98.59, 8.17, 100.0]","[0, 0, 0, 0, 0]"
3,"[100.0, 99.15, 96.01, 0.31, 99.94]","[99.44, 98.35, 96.14, 10.11, 99.77]","[94.04, 88.62, 68.53, 100.0, 92.44]","[89.6, 85.6, 66.49, 0.0, 87.38]","[99.04, 97.36, 88.64, 100.0, 98.32]","[99.28, 95.68, 90.4, 100.0, 99.04]","[100.0, 99.9, 99.26, 0.25, 100.0]","[100.0, 99.95, 99.66, 7.43, 100.0]"
4,"[100.0, 98.96, 95.24, 0.25, 99.96]","[99.35, 98.37, 95.44, 0.75, 99.71]","[93.16, 87.64, 61.16, 100.0, 90.58]","[87.91, 84.36, 62.58, 0.0, 84.8]","[99.84, 98.72, 94.88, 100.0, 99.68]","[99.6, 97.92, 93.04, 100.0, 99.6]","[99.9, 99.76, 99.39, 0.01, 100.0]","[100.0, 99.98, 99.73, 0.0, 100.0]"
5,"[97.06, 94.45, 80.09, 21.1, 56.74]","[97.46, 96.51, 94.47, 23.03, 39.52]","[86.31, 82.84, 58.84, 100.0, 66.49]","[88.27, 70.49, 69.78, 100.0, 70.49]","[99.6, 99.04, 97.12, 100.0, 98.88]","[99.84, 99.12, 96.8, 99.68, 99.28]","[99.76, 99.69, 97.96, 14.19, 79.87]","[99.93, 99.88, 99.27, 7.07, 79.93]"
