,cifar10_resnet18,cifar10_vgg16,cifar100_resnet18,cifar100_vgg16,tinyimg_resnet18,tinyimg_vgg16,fmnist_resnet18,fmnist_vgg16
retrain,"{'retain': 100.0, 'forget': 66.24888899197049, 'val': 74.46000001220703, 'test': 74.43, 'forget 0': 70.71111092122396, 'forget 1': 79.06666692437067, 'forget 3': 48.577777777777776, 'forget 5': 57.11111123657226, 'forget 6': 75.77777789984809}","{'retain': 100.0, 'forget': 77.6622222290039, 'val': 84.61999985351562, 'test': 84.61, 'forget 0': 81.06666701253255, 'forget 1': 89.24444432915581, 'forget 3': 65.95555573866102, 'forget 5': 66.80000009494357, 'forget 6': 85.24444452582465}","{'retain': 99.97720795999294, 'forget': 19.555555559794108, 'val': 44.29999998168945, 'test': 45.89, 'forget 11': 16.0, 'forget 22': 27.55555534362793, 'forget 33': 33.77777862548828, 'forget 44': 11.55555534362793, 'forget 55': 8.88888931274414}","{'retain': 99.98176636455133, 'forget': 28.80000004916721, 'val': 59.23999993896484, 'test': 59.42, 'forget 11': 24.88888931274414, 'forget 22': 46.66666793823242, 'forget 33': 46.22222137451172, 'forget 44': 11.55555534362793, 'forget 55': 14.666666984558105}","{'retain': 99.97974663034563, 'forget': 29.200000161743166, 'val': 0, 'test': 35.807161390316395, 'forget 1': 56.0, 'forget 51': 16.399999618530273, 'forget 101': 26.80000114440918, 'forget 151': 16.80000114440918, 'forget 198': 30.0}","{'retain': 99.97974663034563, 'forget': 38.7200003112793, 'val': 0, 'test': 49.68993796852022, 'forget 1': 60.0, 'forget 51': 31.200000762939453, 'forget 101': 44.0, 'forget 151': 23.200000762939453, 'forget 198': 35.20000076293945}","{'retain': 100.0, 'forget': 95.82222222674335, 'val': 92.1500000406901, 'test': 91.54, 'forget 1': 98.6666668927228, 'forget 3': 90.0000001695421, 'forget 5': 97.70370370370371, 'forget 7': 95.55555555555556, 'forget 9': 97.18518546775535}","{'retain': 100.0, 'forget': 96.14814813684534, 'val': 93.34999997965495, 'test': 92.93, 'forget 1': 98.77777772126375, 'forget 3': 89.5925925925926, 'forget 5': 98.11111111111111, 'forget 7': 97.07407424361618, 'forget 9': 97.18518529821326}"
FT,"{'retain': 100.0, 'forget': 66.87111105821397, 'val': 75.51999987792969, 'test': 74.87, 'forget 0': 72.35555576578776, 'forget 1': 80.57777761501737, 'forget 3': 49.37777777777778, 'forget 5': 55.95555543687608, 'forget 6': 76.08888909912109}","{'retain': 100.0, 'forget': 79.8044444539388, 'val': 85.45999985351563, 'test': 85.32, 'forget 0': 81.91111110432942, 'forget 1': 90.31111123996311, 'forget 3': 69.5555553656684, 'forget 5': 71.59999972195095, 'forget 6': 85.64444428168403}","{'retain': 99.97037035315533, 'forget': 22.577777837117512, 'val': 45.28, 'test': 46.83, 'forget 11': 16.44444465637207, 'forget 22': 34.66666793823242, 'forget 33': 36.4444465637207, 'forget 44': 13.333333015441895, 'forget 55': 12.0}","{'retain': 99.97492875771373, 'forget': 34.66666682603624, 'val': 58.18000002441406, 'test': 58.76, 'forget 11': 28.88888931274414, 'forget 22': 52.4444465637207, 'forget 33': 50.66666793823242, 'forget 44': 24.44444465637207, 'forget 55': 16.88888931274414}","{'retain': 99.97974663034563, 'forget': 31.520000421142576, 'val': 0, 'test': 35.927185379855516, 'forget 1': 57.20000076293945, 'forget 51': 16.399999618530273, 'forget 101': 36.400001525878906, 'forget 151': 12.40000057220459, 'forget 198': 35.20000076293945}","{'retain': 99.97670862489747, 'forget': 41.04000006103516, 'val': 0, 'test': 47.649529825856526, 'forget 1': 63.20000076293945, 'forget 51': 28.399999618530273, 'forget 101': 47.60000228881836, 'forget 151': 27.600000381469727, 'forget 198': 38.400001525878906}","{'retain': 100.0, 'forget': 96.22962964997468, 'val': 91.86666658528645, 'test': 91.48, 'forget 1': 98.48148170753761, 'forget 3': 91.11111116762514, 'forget 5': 98.18518518518519, 'forget 7': 96.51851863154658, 'forget 9': 96.85185207790799}","{'retain': 100.0, 'forget': 96.940740713614, 'val': 93.1500000406901, 'test': 92.71, 'forget 1': 98.6666668927228, 'forget 3': 92.59259287516277, 'forget 5': 98.85185179533782, 'forget 7': 97.18518546775535, 'forget 9': 97.40740752043547}"
FF,"{'retain': 47.56148147153501, 'forget': 51.82222220594618, 'val': 36.23999996337891, 'test': 36.01, 'forget 0': 34.488888793945314, 'forget 1': 99.91111111111111, 'forget 3': 33.42222213745117, 'forget 5': 33.15555550130208, 'forget 6': 58.13333344862196}","[0, 0, 0, 0, 0]","{'retain': 41.81652420756892, 'forget': 50.755555457221135, 'val': 18.200000006103515, 'test': 19.16, 'forget 11': 50.22222137451172, 'forget 22': 79.55555725097656, 'forget 33': 40.0, 'forget 44': 60.88888931274414, 'forget 55': 23.11111068725586}","[0, 0, 0, 0, 0]","{'retain': 67.86802904031893, 'forget': 62.320000073242184, 'val': 0, 'test': 21.42428485658985, 'forget 1': 59.99999917602539, 'forget 51': 52.79999966430664, 'forget 101': 74.79999841308594, 'forget 151': 69.19999835205078, 'forget 198': 54.800000061035156}","[0, 0, 0, 0, 0]","{'retain': 55.599999998116196, 'forget': 74.02222216796875, 'val': 56.449999938964844, 'test': 55.89, 'forget 1': 97.25925931577329, 'forget 3': 10.51851853971128, 'forget 5': 84.70370398627387, 'forget 7': 77.70370364718967, 'forget 9': 99.92592592592592}","[0, 0, 0, 0, 0]"
GA,"{'retain': 92.31999999819155, 'forget': 76.33777779541016, 'val': 66.7600000366211, 'test': 66.63, 'forget 0': 78.8000002983941, 'forget 1': 75.64444430202909, 'forget 3': 73.28888894314237, 'forget 5': 77.15555550130209, 'forget 6': 76.8000002102322}","{'retain': 86.24592591281467, 'forget': 59.37777781032986, 'val': 66.85999986572266, 'test': 67.64, 'forget 0': 64.35555558268229, 'forget 1': 38.31111126030816, 'forget 3': 61.06666663614909, 'forget 5': 60.22222233751085, 'forget 6': 72.93333327907986}","{'retain': 97.83703703495037, 'forget': 29.155555574205188, 'val': 42.15999995727539, 'test': 42.97, 'forget 11': 29.77777862548828, 'forget 22': 28.44444465637207, 'forget 33': 20.44444465637207, 'forget 44': 38.66666793823242, 'forget 55': 28.44444465637207}","{'retain': 96.97549857202078, 'forget': 14.400000024583605, 'val': 52.63999992675781, 'test': 54.76, 'forget 11': 10.666666984558105, 'forget 22': 23.55555534362793, 'forget 33': 11.55555534362793, 'forget 44': 16.44444465637207, 'forget 55': 9.777777671813965}","{'retain': 98.6247962081939, 'forget': 44.56000041503906, 'val': 0, 'test': 32.48649727275167, 'forget 1': 43.20000076293945, 'forget 51': 38.400001525878906, 'forget 101': 54.400001525878906, 'forget 151': 38.79999923706055, 'forget 198': 48.0}","{'retain': 98.78378515998075, 'forget': 34.87999999694824, 'val': 0, 'test': 44.9089817791897, 'forget 1': 36.400001525878906, 'forget 51': 35.20000076293945, 'forget 101': 39.20000076293945, 'forget 151': 30.80000114440918, 'forget 198': 32.79999923706055}","{'retain': 92.33333332881222, 'forget': 77.3333332949038, 'val': 82.06666668701172, 'test': 80.2, 'forget 1': 88.77777772126375, 'forget 3': 72.40740746392144, 'forget 5': 80.6296299121998, 'forget 7': 88.48148176405165, 'forget 9': 56.37037053991247}","{'retain': 74.36049382263937, 'forget': 27.696296297426578, 'val': 56.68333333333333, 'test': 56.11, 'forget 1': 5.518518532647027, 'forget 3': 90.40740768997757, 'forget 5': 27.777777791906285, 'forget 7': 14.111111153496637, 'forget 9': 0.6666666666666666}"
IU,"{'retain': 94.64296298059534, 'forget': 87.46666674669054, 'val': 70.61999992675781, 'test': 69.82, 'forget 0': 94.84444422064887, 'forget 1': 86.75555537245009, 'forget 3': 85.82222219509549, 'forget 5': 86.62222245958117, 'forget 6': 83.288889058431}","{'retain': 83.8340740605107, 'forget': 52.74666667751736, 'val': 65.11999989013673, 'test': 64.81, 'forget 0': 62.711111148410374, 'forget 1': 38.66666674804687, 'forget 3': 55.644444356282555, 'forget 5': 41.77777792697483, 'forget 6': 64.93333316379123}","{'retain': 97.50199428408371, 'forget': 55.19999985080295, 'val': 41.32000000610351, 'test': 41.97, 'forget 11': 71.11111450195312, 'forget 22': 42.66666793823242, 'forget 33': 34.66666793823242, 'forget 44': 76.8888931274414, 'forget 55': 50.66666793823242}","{'retain': 96.35555555277332, 'forget': 38.93333335706923, 'val': 51.33999998779297, 'test': 51.63, 'forget 11': 25.33333396911621, 'forget 22': 55.11111068725586, 'forget 33': 28.44444465637207, 'forget 44': 78.66666412353516, 'forget 55': 7.555555820465088}","{'retain': 75.33645910488991, 'forget': 14.96, 'val': 0, 'test': 23.42468493364887, 'forget 1': 23.600000381469727, 'forget 51': 5.599999904632568, 'forget 101': 9.600000381469727, 'forget 151': 36.0, 'forget 198': 0.0}","{'retain': 95.25767350099055, 'forget': 13.920000018310548, 'val': 0, 'test': 39.64792955730123, 'forget 1': 47.60000228881836, 'forget 51': 5.200000286102295, 'forget 101': 0.0, 'forget 151': 15.199999809265137, 'forget 198': 1.600000023841858}","{'retain': 76.83950616831838, 'forget': 46.15555553294994, 'val': 65.11666667683919, 'test': 63.29, 'forget 1': 90.81481481481481, 'forget 3': 50.66666675143772, 'forget 5': 41.59259267736364, 'forget 7': 0.8518518527348836, 'forget 9': 46.851851823594835}","{'retain': 75.86913579870154, 'forget': 27.429629600242333, 'val': 58.70000001017252, 'test': 58.13, 'forget 1': 0.037037037037037035, 'forget 3': 19.29629630336055, 'forget 5': 20.851851880108867, 'forget 7': 33.48148148148148, 'forget 9': 63.48148148148148}"
FT_prune,"{'retain': 66.48888888346355, 'forget': 40.21333334757487, 'val': 58.059999877929684, 'test': 57.34, 'forget 0': 28.133333258734808, 'forget 1': 59.15555559285482, 'forget 3': 44.17777790662977, 'forget 5': 37.555555636935765, 'forget 6': 32.04444461398654}","{'retain': 75.05185186677156, 'forget': 62.25777776896159, 'val': 69.21999991455078, 'test': 68.98, 'forget 0': 65.68888920762804, 'forget 1': 81.46666650390625, 'forget 3': 27.333333367241753, 'forget 5': 56.04444440375434, 'forget 6': 80.75555528428819}","{'retain': 90.7122507059907, 'forget': 15.466666751437717, 'val': 40.599999963378906, 'test': 41.74, 'forget 11': 17.77777862548828, 'forget 22': 23.55555534362793, 'forget 33': 32.0, 'forget 44': 4.0, 'forget 55': 0.0}","{'retain': 80.73390312416534, 'forget': 19.377777857462565, 'val': 49.08, 'test': 49.71, 'forget 11': 3.555555582046509, 'forget 22': 37.33333206176758, 'forget 33': 52.88888931274414, 'forget 44': 3.1111111640930176, 'forget 55': 0.8888888955116272}","{'retain': 96.85566435768136, 'forget': 25.35999998168945, 'val': 0, 'test': 32.14642928662026, 'forget 1': 40.799998809814454, 'forget 51': 13.999999572753905, 'forget 101': 27.59999938964844, 'forget 151': 14.399999839782716, 'forget 198': 29.99999905395508}","{'retain': 89.93508795365719, 'forget': 36.16000042114258, 'val': 0, 'test': 44.10882176435287, 'forget 1': 58.79999923706055, 'forget 51': 28.80000114440918, 'forget 101': 48.79999923706055, 'forget 151': 23.600000381469727, 'forget 198': 20.80000114440918}","{'retain': 67.44691357497227, 'forget': 70.7777777822989, 'val': 68.48333327229818, 'test': 66.87, 'forget 1': 85.88888900191695, 'forget 3': 37.74074071248372, 'forget 5': 86.48148176405165, 'forget 7': 65.74074076899775, 'forget 9': 78.03703731960721}","{'retain': 63.234567899350765, 'forget': 53.207407404016564, 'val': 60.83333337402344, 'test': 59.51, 'forget 1': 83.77777789080585, 'forget 3': 48.925926038953996, 'forget 5': 46.5185184902615, 'forget 7': 0.7407407407407407, 'forget 9': 86.0740743001302}"
