dataset,method,model_name,recall_acc_ul,recall_acc_lp,test_acc_ul,test_acc_lp,forget_label_0_ul,forget_label_0_lp,forget_label_1_ul,forget_label_1_lp,forget_label_3_ul,forget_label_3_lp,forget_label_5_ul,forget_label_5_lp,forget_label_6_ul,forget_label_6_lp,forget_label_11_ul,forget_label_11_lp,forget_label_22_ul,forget_label_22_lp,forget_label_33_ul,forget_label_33_lp,forget_label_44_ul,forget_label_44_lp,forget_label_55_ul,forget_label_55_lp,forget_label_51_ul,forget_label_51_lp,forget_label_101_ul,forget_label_101_lp,forget_label_151_ul,forget_label_151_lp,forget_label_198_ul,forget_label_198_lp,forget_label_7_ul,forget_label_7_lp,forget_label_9_ul,forget_label_9_lp,recall_improvement,forget_improvement_0,forget_improvement_1,forget_improvement_3,forget_improvement_5,forget_improvement_6,forget_improvement_11,forget_improvement_22,forget_improvement_33,forget_improvement_44,forget_improvement_55,forget_improvement_51,forget_improvement_101,forget_improvement_151,forget_improvement_198,forget_improvement_7,forget_improvement_9,forget_improvement_sum
fmnist,retrain,resnet18,95.82222222674335,96.22222222222221,91.54,99.97,,,98.6666668927228,98.48148148148148,90.0000001695421,91.51851851851852,97.70370370370371,97.96296296296296,,,,,,,,,,,,,,,,,,,,,95.55555555555556,95.85185185185185,97.18518546775535,97.29629629629629,0.004174396984160398,,-0.001876879163686223,0.01687242606795364,0.0026535253980287396,,,,,,,,,,,0.003100775193798389,0.0011432897720590276,0.021893137268153572
fmnist,FT,resnet18,96.22962964997468,96.82962962962964,91.48,99.92999999999999,,,98.48148170753761,98.51851851851852,91.11111116762514,93.03703703703704,98.18518518518519,98.51851851851852,,,,,,,,,,,,,,,,,,,,,96.51851863154658,97.18518518518519,96.85185207790799,96.88888888888889,0.006235085615910515,,0.0003760789372655539,0.021138210748726384,0.003394945303658948,,,,,,,,,,,0.006907136196148681,0.0003824068428872281,0.0321987780286868
fmnist,FF,resnet18,74.02222216796875,89.88148148148149,55.89,99.13,,,97.25925931577329,99.33333333333333,10.51851853971128,57.592592592592595,84.70370398627387,98.37037037037038,,,,,,,,,,,,,,,,,,,,,77.70370364718967,95.22222222222221,99.92592592592592,98.88888888888889,0.21424997587245403,,0.02132520885056409,4.475352101644291,0.16134673858313425,,,,,,,,,,,0.225452813093371,-0.010378057820607868,4.873098804350753
fmnist,GA,resnet18,77.3333332949038,96.54814814814814,80.2,99.94,,,88.77777772126375,99.29629629629629,72.40740746392144,92.22222222222223,80.6296299121998,98.62962962962963,,,,,,,,,,,,,,,,,,,,,88.48148176405165,99.0,56.37037053991247,93.5925925925926,0.24846743357059703,,0.11848143583924364,0.2736572880084671,0.22324299066026482,,,,,,,,,,,0.11887818813881826,0.660315369513587,1.394575272160381
fmnist,IU,resnet18,46.162962968614366,81.25185185185185,63.29,98.83,,,90.81481481481481,98.88888888888889,50.703703788474755,84.07407407407408,41.59259267736364,88.81481481481481,,,,,,,,,,,,,,,,,,,,,0.8518518527348836,39.51851851851852,46.851851823594835,94.96296296296296,0.7601091140335596,,0.08890701468189235,0.6581446283453676,1.1353517320681814,,,,,,,,,,,45.391304299736746,1.0268774715781699,48.300585146410356
fmnist,FT_prune,resnet18,24.385185188010887,35.55555555555556,32.91,89.87,,,21.777777791906285,75.85185185185185,0.0,1.7037037037037037,5.666666677263048,0.8148148148148148,,,,,,,,,,,,,,,,,,,,,94.48148153799552,99.03703703703704,0.0,0.3703703703703704,0.4580801942417335,,2.4829931950192914,inf,-0.856209150595679,,,,,,,,,,,0.048216385104095885,inf,inf
fmnist,retrain,vgg16,96.14814813684534,96.62962962962963,92.93,99.95,,,98.77777772126375,98.77777777777777,89.5925925925926,91.7037037037037,98.11111111111111,98.07407407407408,,,,,,,,,,,,,,,,,,,,,97.07407424361618,97.11111111111111,97.18518529821326,97.48148148148148,0.005007704278391472,,5.721329914795062e-10,0.023563455973542664,-0.0003775009437523701,,,,,,,,,,,0.00038153201854890646,0.0030487793212415964,0.026616266941713786
fmnist,FT,vgg16,96.940740713614,97.39259259259259,92.71,99.96000000000001,,,98.6666668927228,98.88888888888889,92.59259287516277,93.96296296296296,98.85185179533782,98.92592592592592,,,,,,,,,,,,,,,,,,,,,97.18518546775535,97.51851851851852,97.40740752043547,97.66666666666667,0.004661114363809795,,0.0022522499559825926,0.014799996903076118,0.0007493448958494394,,,,,,,,,,,0.0034298751312644045,0.0026615957947223935,0.023893062680894944
fmnist,FF,vgg16,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0
fmnist,GA,vgg16,27.696296297426578,49.614814814814814,56.11,94.48,,,5.518518532647027,11.0,90.40740768997757,95.96296296296296,27.777777791906285,60.77777777777777,,,,,,,,,,,,,,,,,,,,,14.111111153496637,60.66666666666667,0.6666666666666666,19.666666666666664,0.7913880716038126,,0.9932885855008103,0.061450221999908836,1.1879999988871255,,,,,,,,,,,3.299212585511658,28.499999999999996,34.0419513918995
fmnist,IU,vgg16,27.429629600242333,75.45185185185184,58.13,98.16,,,0.037037037037037035,22.88888888888889,19.29629630336055,77.22222222222223,20.851851880108867,93.44444444444444,,,,,,,,,,,,,,,,,,,,,33.48148148148148,87.1111111111111,63.48148148148148,96.5925925925926,1.7507426440488736,,617.0,3.001919384331468,3.4813499051172316,,,,,,,,,,,1.6017699115044244,0.5215869311551926,625.6066261321083
fmnist,FT_prune,vgg16,92.89629624204282,94.60740740740741,82.7,99.72999999999999,,,96.40740746392144,96.85185185185186,86.7037038732458,91.66666666666666,94.88888917145906,95.5925925925926,,,,,,,,,,,,,,,,,,,,,93.85185179533782,96.14814814814815,92.6296299121998,92.77777777777779,0.018419584360029346,,0.004610064720356077,0.057240493447388706,0.007416078186582897,,,,,,,,,,,0.024467246078616008,0.0015993572004811669,0.09533323963342485
