,cifar10_resnet18,cifar10_vgg16,cifar100_resnet18,cifar100_vgg16,tinyimg_resnet18,tinyimg_vgg16,fmnist_resnet18,fmnist_vgg16
retrain,"{'test_acc': 0.9966, 'forget_acc': 0.6940444444444445, 'forget_label_0': 0.7622222222222222, 'forget_label_1': 0.8173333333333334, 'forget_label_3': 0.5093333333333333, 'forget_label_5': 0.5951111111111111, 'forget_label_6': 0.7862222222222223}","{'test_acc': 0.9977, 'forget_acc': 0.8077333333333333, 'forget_label_0': 0.8524444444444444, 'forget_label_1': 0.9075555555555556, 'forget_label_3': 0.7022222222222222, 'forget_label_5': 0.7031111111111111, 'forget_label_6': 0.8733333333333333}","{'test_acc': 0.9994, 'forget_acc': 0.21955555555555556, 'forget_label_11': 0.13333333333333333, 'forget_label_22': 0.29333333333333333, 'forget_label_33': 0.4488888888888889, 'forget_label_44': 0.10666666666666667, 'forget_label_55': 0.11555555555555555}","{'test_acc': 0.9994, 'forget_acc': 0.32622222222222225, 'forget_label_11': 0.28, 'forget_label_22': 0.47555555555555556, 'forget_label_33': 0.5911111111111111, 'forget_label_44': 0.11555555555555555, 'forget_label_55': 0.1688888888888889}","{'test_acc': 1.0, 'forget_acc': 0.3896, 'forget_label_1': 0.712, 'forget_label_51': 0.176, 'forget_label_101': 0.352, 'forget_label_151': 0.232, 'forget_label_198': 0.476}","{'test_acc': 1.0, 'forget_acc': 0.5392, 'forget_label_1': 0.748, 'forget_label_51': 0.42, 'forget_label_101': 0.576, 'forget_label_151': 0.364, 'forget_label_198': 0.588}","{'test_acc': 0.9997, 'forget_acc': 0.9622222222222222, 'forget_label_1': 0.9848148148148148, 'forget_label_3': 0.9151851851851852, 'forget_label_5': 0.9796296296296296, 'forget_label_7': 0.9585185185185185, 'forget_label_9': 0.9729629629629629}","{'test_acc': 0.9995, 'forget_acc': 0.9662962962962963, 'forget_label_1': 0.9877777777777778, 'forget_label_3': 0.917037037037037, 'forget_label_5': 0.9807407407407407, 'forget_label_7': 0.9711111111111111, 'forget_label_9': 0.9748148148148148}"
FT,"{'test_acc': 0.997, 'forget_acc': 0.7016888888888889, 'forget_label_0': 0.7648888888888888, 'forget_label_1': 0.8328888888888889, 'forget_label_3': 0.5293333333333333, 'forget_label_5': 0.5693333333333334, 'forget_label_6': 0.812}","{'test_acc': 0.9975, 'forget_acc': 0.8259555555555556, 'forget_label_0': 0.864, 'forget_label_1': 0.9128888888888889, 'forget_label_3': 0.7342222222222222, 'forget_label_5': 0.7386666666666667, 'forget_label_6': 0.88}","{'test_acc': 0.9992, 'forget_acc': 0.2248888888888889, 'forget_label_11': 0.1688888888888889, 'forget_label_22': 0.27111111111111114, 'forget_label_33': 0.4622222222222222, 'forget_label_44': 0.13333333333333333, 'forget_label_55': 0.08888888888888889}","{'test_acc': 0.9994, 'forget_acc': 0.3804444444444444, 'forget_label_11': 0.29777777777777775, 'forget_label_22': 0.5422222222222223, 'forget_label_33': 0.6088888888888889, 'forget_label_44': 0.25333333333333335, 'forget_label_55': 0.2}","{'test_acc': 1.0, 'forget_acc': 0.3952, 'forget_label_1': 0.748, 'forget_label_51': 0.16, 'forget_label_101': 0.364, 'forget_label_151': 0.188, 'forget_label_198': 0.516}","{'test_acc': 0.9997999599919984, 'forget_acc': 0.4792, 'forget_label_1': 0.768, 'forget_label_51': 0.292, 'forget_label_101': 0.532, 'forget_label_151': 0.304, 'forget_label_198': 0.5}","{'test_acc': 0.9993, 'forget_acc': 0.9682962962962963, 'forget_label_1': 0.9851851851851852, 'forget_label_3': 0.9303703703703704, 'forget_label_5': 0.9851851851851852, 'forget_label_7': 0.9718518518518519, 'forget_label_9': 0.9688888888888889}","{'test_acc': 0.9996, 'forget_acc': 0.973925925925926, 'forget_label_1': 0.9888888888888889, 'forget_label_3': 0.9396296296296296, 'forget_label_5': 0.9892592592592593, 'forget_label_7': 0.9751851851851852, 'forget_label_9': 0.9766666666666667}"
FF,"{'test_acc': 0.995, 'forget_acc': 0.9566222222222223, 'forget_label_0': 0.9106666666666666, 'forget_label_1': 0.9995555555555555, 'forget_label_3': 0.9342222222222222, 'forget_label_5': 0.9613333333333334, 'forget_label_6': 0.9773333333333334}","[0, 0, 0, 0, 0]","{'test_acc': 0.995, 'forget_acc': 0.9688888888888889, 'forget_label_11': 0.9422222222222222, 'forget_label_22': 0.9822222222222222, 'forget_label_33': 0.9866666666666667, 'forget_label_44': 0.9777777777777777, 'forget_label_55': 0.9555555555555556}","[0, 0, 0, 0, 0]","{'test_acc': 0.9971994398879775, 'forget_acc': 0.9688, 'forget_label_1': 1.0, 'forget_label_51': 0.944, 'forget_label_101': 0.944, 'forget_label_151': 0.976, 'forget_label_198': 0.98}","[0, 0, 0, 0, 0]","{'test_acc': 0.9913, 'forget_acc': 0.8988148148148148, 'forget_label_1': 0.9933333333333333, 'forget_label_3': 0.575925925925926, 'forget_label_5': 0.9837037037037037, 'forget_label_7': 0.9522222222222222, 'forget_label_9': 0.9888888888888889}","[0, 0, 0, 0, 0]"
GA,"{'test_acc': 0.9968, 'forget_acc': 0.9213333333333333, 'forget_label_0': 0.9324444444444444, 'forget_label_1': 0.9213333333333333, 'forget_label_3': 0.9186666666666666, 'forget_label_5': 0.9124444444444444, 'forget_label_6': 0.9217777777777778}","{'test_acc': 0.9976, 'forget_acc': 0.8238222222222222, 'forget_label_0': 0.8751111111111111, 'forget_label_1': 0.616, 'forget_label_3': 0.8693333333333333, 'forget_label_5': 0.8422222222222222, 'forget_label_6': 0.9164444444444444}","{'test_acc': 0.9943, 'forget_acc': 0.9368888888888889, 'forget_label_11': 0.9377777777777778, 'forget_label_22': 0.92, 'forget_label_33': 0.9155555555555556, 'forget_label_44': 0.9777777777777777, 'forget_label_55': 0.9333333333333333}","{'test_acc': 0.9976, 'forget_acc': 0.8977777777777778, 'forget_label_11': 0.9333333333333333, 'forget_label_22': 0.8044444444444444, 'forget_label_33': 0.96, 'forget_label_44': 0.8977777777777778, 'forget_label_55': 0.8933333333333333}","{'test_acc': 0.9963992798559712, 'forget_acc': 0.9856, 'forget_label_1': 0.992, 'forget_label_51': 0.976, 'forget_label_101': 0.98, 'forget_label_151': 0.988, 'forget_label_198': 0.992}","{'test_acc': 0.9983996799359872, 'forget_acc': 0.9904, 'forget_label_1': 0.988, 'forget_label_51': 0.976, 'forget_label_101': 0.996, 'forget_label_151': 1.0, 'forget_label_198': 0.992}","{'test_acc': 0.9994, 'forget_acc': 0.9654814814814815, 'forget_label_1': 0.9929629629629629, 'forget_label_3': 0.9222222222222223, 'forget_label_5': 0.9862962962962963, 'forget_label_7': 0.99, 'forget_label_9': 0.9359259259259259}","{'test_acc': 0.9448, 'forget_acc': 0.49614814814814817, 'forget_label_1': 0.11, 'forget_label_3': 0.9596296296296296, 'forget_label_5': 0.6077777777777778, 'forget_label_7': 0.6066666666666667, 'forget_label_9': 0.19666666666666666}"
IU,"{'test_acc': 0.9969, 'forget_acc': 0.9707555555555556, 'forget_label_0': 0.9844444444444445, 'forget_label_1': 0.9631111111111111, 'forget_label_3': 0.9684444444444444, 'forget_label_5': 0.9746666666666667, 'forget_label_6': 0.9631111111111111}","{'test_acc': 0.9973, 'forget_acc': 0.8118222222222222, 'forget_label_0': 0.8782222222222222, 'forget_label_1': 0.6364444444444445, 'forget_label_3': 0.8711111111111111, 'forget_label_5': 0.7688888888888888, 'forget_label_6': 0.9044444444444445}","{'test_acc': 0.9953, 'forget_acc': 0.9617777777777777, 'forget_label_11': 0.9777777777777777, 'forget_label_22': 0.9288888888888889, 'forget_label_33': 0.9422222222222222, 'forget_label_44': 0.9911111111111112, 'forget_label_55': 0.9688888888888889}","{'test_acc': 0.9978, 'forget_acc': 0.9475555555555556, 'forget_label_11': 0.9244444444444444, 'forget_label_22': 0.9422222222222222, 'forget_label_33': 0.9777777777777777, 'forget_label_44': 0.9911111111111112, 'forget_label_55': 0.9022222222222223}","{'test_acc': 0.997999599919984, 'forget_acc': 0.9864, 'forget_label_1': 0.992, 'forget_label_51': 0.98, 'forget_label_101': 0.98, 'forget_label_151': 1.0, 'forget_label_198': 0.98}","{'test_acc': 0.9987997599519904, 'forget_acc': 0.9848, 'forget_label_1': 0.996, 'forget_label_51': 0.984, 'forget_label_101': 0.996, 'forget_label_151': 0.992, 'forget_label_198': 0.956}","{'test_acc': 0.9883, 'forget_acc': 0.8125185185185185, 'forget_label_1': 0.9888888888888889, 'forget_label_3': 0.8407407407407408, 'forget_label_5': 0.8881481481481481, 'forget_label_7': 0.3951851851851852, 'forget_label_9': 0.9496296296296296}","{'test_acc': 0.9816, 'forget_acc': 0.7545185185185185, 'forget_label_1': 0.2288888888888889, 'forget_label_3': 0.7722222222222223, 'forget_label_5': 0.9344444444444444, 'forget_label_7': 0.8711111111111111, 'forget_label_9': 0.965925925925926}"
FT_prune,"{'test_acc': 0.9938, 'forget_acc': 0.5400888888888888, 'forget_label_0': 0.6386666666666667, 'forget_label_1': 0.6648888888888889, 'forget_label_3': 0.3844444444444444, 'forget_label_5': 0.348, 'forget_label_6': 0.6644444444444444}","{'test_acc': 0.9967, 'forget_acc': 0.708, 'forget_label_0': 0.8106666666666666, 'forget_label_1': 0.9013333333333333, 'forget_label_3': 0.448, 'forget_label_5': 0.6408888888888888, 'forget_label_6': 0.7391111111111112}","{'test_acc': 0.9997, 'forget_acc': 0.16622222222222222, 'forget_label_11': 0.14666666666666667, 'forget_label_22': 0.23555555555555555, 'forget_label_33': 0.4, 'forget_label_44': 0.022222222222222223, 'forget_label_55': 0.02666666666666667}","{'test_acc': 0.9996, 'forget_acc': 0.26844444444444443, 'forget_label_11': 0.1111111111111111, 'forget_label_22': 0.4444444444444444, 'forget_label_33': 0.6044444444444445, 'forget_label_44': 0.18222222222222223, 'forget_label_55': 0.0}","{'test_acc': 0.9997999599919984, 'forget_acc': 0.528, 'forget_label_1': 0.88, 'forget_label_51': 0.216, 'forget_label_101': 0.56, 'forget_label_151': 0.356, 'forget_label_198': 0.628}","{'test_acc': 0.9997999599919984, 'forget_acc': 0.5176, 'forget_label_1': 0.828, 'forget_label_51': 0.356, 'forget_label_101': 0.56, 'forget_label_151': 0.328, 'forget_label_198': 0.516}","{'test_acc': 0.8987, 'forget_acc': 0.35555555555555557, 'forget_label_1': 0.7585185185185185, 'forget_label_3': 0.017037037037037038, 'forget_label_5': 0.008148148148148147, 'forget_label_7': 0.9903703703703703, 'forget_label_9': 0.003703703703703704}","{'test_acc': 0.9973, 'forget_acc': 0.9460740740740741, 'forget_label_1': 0.9685185185185186, 'forget_label_3': 0.9166666666666666, 'forget_label_5': 0.955925925925926, 'forget_label_7': 0.9614814814814815, 'forget_label_9': 0.9277777777777778}"
