dataset,method,model_name,recall_acc_ul,recall_acc_lp,test_acc_ul,test_acc_lp,forget_label_0_ul,forget_label_0_lp,forget_label_1_ul,forget_label_1_lp,forget_label_3_ul,forget_label_3_lp,forget_label_5_ul,forget_label_5_lp,forget_label_6_ul,forget_label_6_lp,forget_label_11_ul,forget_label_11_lp,forget_label_22_ul,forget_label_22_lp,forget_label_33_ul,forget_label_33_lp,forget_label_44_ul,forget_label_44_lp,forget_label_55_ul,forget_label_55_lp,forget_label_51_ul,forget_label_51_lp,forget_label_101_ul,forget_label_101_lp,forget_label_151_ul,forget_label_151_lp,forget_label_198_ul,forget_label_198_lp,forget_label_7_ul,forget_label_7_lp,forget_label_9_ul,forget_label_9_lp,recall_improvement,forget_improvement_0,forget_improvement_1,forget_improvement_3,forget_improvement_5,forget_improvement_6,forget_improvement_11,forget_improvement_22,forget_improvement_33,forget_improvement_44,forget_improvement_55,forget_improvement_51,forget_improvement_101,forget_improvement_151,forget_improvement_198,forget_improvement_7,forget_improvement_9,forget_improvement_sum
cifar10,retrain,resnet18,66.24888899197049,66.26666666666667,74.43,99.5,70.71111092122396,71.6,79.06666692437067,79.06666666666666,48.577777777777776,48.62222222222222,57.11111123657226,56.666666666666664,75.77777789984809,75.37777777777778,,,,,,,,,,,,,,,,,,,,,,,0.0002683467597219865,0.012570712964279442,-3.2593254801593107e-09,0.0009149130832570874,-0.007782103347010167,-0.005278593977761805,,,,,,,,,,,,0.0004249254634390775
cifar10,FT,resnet18,66.87111105821397,67.0488888888889,74.87,99.53,72.35555576578776,73.15555555555555,80.57777761501737,80.4888888888889,49.37777777777778,49.022222222222226,55.95555543687608,55.68888888888889,76.08888909912109,76.88888888888889,,,,,,,,,,,,,,,,,,,,,,,0.002658514683869455,0.01105650811884253,-0.0011031419425981707,-0.007200720072007174,-0.004765684942365036,0.010514015899557095,,,,,,,,,,,,0.008500977061429242
cifar10,FF,resnet18,51.82222220594618,53.49333333333334,36.01,97.32,34.488888793945314,44.31111111111111,99.91111111111111,99.02222222222223,33.42222213745117,27.68888888888889,33.15555550130208,33.33333333333333,58.13333344862196,63.11111111111111,,,,,,,,,,,,,,,,,,,,,,,0.032246998608936726,0.2847938179698655,-0.008896797153024879,-0.1715425510902165,0.005361931940011222,0.08562690916199547,,,,,,,,,,,,0.19534331082863085
cifar10,GA,resnet18,76.33777779541016,76.29333333333334,66.63,98.98,78.8000002983941,78.84444444444443,75.64444430202909,75.6888888888889,73.28888894314237,73.15555555555555,77.15555550130209,76.97777777777777,76.8000002102322,76.8,,,,,,,,,,,,,,,,,,,,,,,-0.0005822079625626385,0.000564012003579195,0.0005875459496054321,-0.0018192851537189572,-0.002304146763888114,-2.7373984485644913e-09,,,,,,,,,,,,-0.0029718767018208927
cifar10,IU,resnet18,87.46666674669054,87.44888888888889,69.82,98.99,94.84444422064887,94.84444444444445,86.75555537245009,86.75555555555555,85.82222219509549,85.82222222222222,86.62222245958117,86.53333333333333,83.288889058431,83.28888888888889,,,,,,,,,,,,,,,,,,,,,,,-0.00020325294724141135,2.359606648727528e-09,2.110590559240516e-09,3.1608050211005524e-10,-0.001026170002614651,-2.0355909019372424e-09,,,,,,,,,,,,-0.0010261672519278429
cifar10,FT_prune,resnet18,40.791111117214626,47.14666666666666,56.99,98.17,43.42222233072917,51.77777777777778,51.68888879055447,59.91111111111111,36.48888898044162,38.800000000000004,24.844444390190972,30.844444444444445,47.511111189100475,54.400000000000006,,,,,,,,,,,,,,,,,,,,,,,0.15580736526615155,0.19242579026489678,0.15907136935896274,0.06333739075468038,0.24150268607425085,0.1449953208520181,,,,,,,,,,,,0.8013325573048089
cifar10,retrain,vgg16,77.6622222290039,77.64444444444445,84.61,99.62,81.06666701253255,81.02222222222221,89.24444432915581,89.28888888888889,65.95555573866102,65.95555555555556,66.80000009494357,66.71111111111111,85.24444452582465,85.24444444444444,,,,,,,,,,,,,,,,,,,,,,,-0.0002289116129980748,-0.0005482498781338289,0.0004980092606006618,-2.7761945764855485e-09,-0.0013306734087742919,-9.54668751898316e-10,,,,,,,,,,,,-0.0013809177571707874
cifar10,FT,vgg16,79.8044444539388,79.79555555555555,85.32,99.64,81.91111110432942,82.08888888888889,90.31111123996311,90.4,69.5555553656684,69.55555555555556,71.59999972195095,71.37777777777778,85.64444428168403,85.55555555555556,,,,,,,,,,,,,,,,,,,,,,,-0.00011138350055651395,0.0021703744725551717,0.0009842505403428244,2.7300071032381582e-09,-0.0031036584502254225,-0.0010378808208051323,,,,,,,,,,,,-0.0009869115281254553
cifar10,FF,vgg16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
cifar10,GA,vgg16,59.37777781032986,58.63111111111111,67.64,99.31,64.35555558268229,65.77777777777779,38.31111126030816,46.44444444444444,61.06666663614909,52.04444444444445,60.22222233751085,54.13333333333333,72.93333327907986,74.75555555555556,,,,,,,,,,,,,,,,,,,,,,,-0.012574850840727377,0.022099447082983652,0.21229697903758646,-0.14774381325676997,-0.10110701279093959,0.024984766149422435,,,,,,,,,,,,0.01053036622228298
cifar10,IU,vgg16,52.72888891398112,54.84444444444444,64.8,99.09,62.711111148410374,67.2,38.66666674804687,48.84444444444445,55.644444356282555,47.37777777777778,41.77777792697483,41.28888888888889,64.84444427490234,69.5111111111111,,,,,,,,,,,,,,,,,,,,,,,0.040121375095054895,0.07158043876732384,0.263218388145952,-0.14856229897048878,-0.011702131188989676,0.07196710355670312,,,,,,,,,,,,0.2465015003105005
