dataset,method,model_name,recall_acc_ul,recall_acc_lp,test_acc_ul,test_acc_lp,forget_label_0_ul,forget_label_0_lp,forget_label_1_ul,forget_label_1_lp,forget_label_3_ul,forget_label_3_lp,forget_label_5_ul,forget_label_5_lp,forget_label_6_ul,forget_label_6_lp,forget_label_11_ul,forget_label_11_lp,forget_label_22_ul,forget_label_22_lp,forget_label_33_ul,forget_label_33_lp,forget_label_44_ul,forget_label_44_lp,forget_label_55_ul,forget_label_55_lp,forget_label_51_ul,forget_label_51_lp,forget_label_101_ul,forget_label_101_lp,forget_label_151_ul,forget_label_151_lp,forget_label_198_ul,forget_label_198_lp,forget_label_7_ul,forget_label_7_lp,forget_label_9_ul,forget_label_9_lp,recall_improvement,forget_improvement_0,forget_improvement_1,forget_improvement_3,forget_improvement_5,forget_improvement_6,forget_improvement_11,forget_improvement_22,forget_improvement_33,forget_improvement_44,forget_improvement_55,forget_improvement_51,forget_improvement_101,forget_improvement_151,forget_improvement_198,forget_improvement_7,forget_improvement_9,forget_improvement_sum
cifar10,retrain,resnet18,66.24888899197049,57.49333333333333,74.43,100.0,70.71111092122396,67.06666666666666,79.06666692437067,70.31111111111112,48.577777777777776,37.733333333333334,57.11111123657226,44.977777777777774,75.77777789984809,67.37777777777778,,,,,,,,,,,,,,,,,,,,,,,-0.13216154703663557,-0.051539909458039906,-0.11073637164488628,-0.22323879231473004,-0.21245136359778377,-0.11085044131502765,,,,,,,,,,,,-0.7088168783304677
cifar10,FT,resnet18,66.87111105821397,57.49333333333333,74.87,100.0,72.35555576578776,67.06666666666666,80.57777761501737,70.31111111111112,49.37777777777778,37.733333333333334,55.95555543687608,44.977777777777774,76.08888909912109,67.37777777777778,,,,,,,,,,,,,,,,,,,,,,,-0.1402366070561757,-0.07309582578898337,-0.12741312565057442,-0.23582358235823583,-0.19618744865257265,-0.11448598375507013,,,,,,,,,,,,-0.7470059662054364
cifar10,FF,resnet18,51.82222220594618,57.49333333333333,36.01,100.0,34.488888793945314,67.06666666666666,99.91111111111111,70.31111111111112,33.42222213745117,37.733333333333334,33.15555550130208,44.977777777777774,58.13333344862196,67.37777777777778,,,,,,,,,,,,,,,,,,,,,,,0.10943396261259586,0.9445876342191846,-0.2962633451957295,0.12898936456566004,0.35656836683105525,0.15902140442928542,,,,,,,,,,,,1.2929034248494558
cifar10,GA,resnet18,76.33777779541016,57.49333333333333,66.63,100.0,78.8000002983941,67.06666666666666,75.64444430202909,70.31111111111112,73.28888894314237,37.733333333333334,77.15555550130209,44.977777777777774,76.8000002102322,67.37777777777778,,,,,,,,,,,,,,,,,,,,,,,-0.2468560784226792,-0.14890017242762058,-0.07050528614663784,-0.4851425109936254,-0.4170506908343273,-0.12268518758674533,,,,,,,,,,,,-1.2442838479889564
cifar10,IU,resnet18,87.46666674669054,57.49333333333333,69.82,100.0,94.84444422064887,67.06666666666666,86.75555537245009,70.31111111111112,85.82222219509549,37.733333333333334,86.62222245958117,44.977777777777774,83.288889058431,67.37777777777778,,,,,,,,,,,,,,,,,,,,,,,-0.3426829274306523,-0.2928772241983851,-0.18954917861733883,-0.5603314343509309,-0.4807593651990992,-0.19103522043007246,,,,,,,,,,,,-1.7145524227958264
cifar10,FT_prune,resnet18,40.791111117214626,57.49333333333333,56.99,100.0,43.42222233072917,67.06666666666666,51.68888879055447,70.31111111111112,36.48888898044162,37.733333333333334,24.844444390190972,44.977777777777774,47.511111189100475,67.37777777777778,,,,,,,,,,,,,,,,,,,,,,,0.40945739791505825,0.5445240493645743,0.36027515306074126,0.03410474770987808,0.8103756747941524,0.4181477993559308,,,,,,,,,,,,2.167427424285277
cifar10,retrain,vgg16,77.6622222290039,57.49333333333333,84.61,100.0,81.06666701253255,67.06666666666666,89.24444432915581,70.31111111111112,65.95555573866102,37.733333333333334,66.80000009494357,44.977777777777774,85.24444452582465,67.37777777777778,,,,,,,,,,,,,,,,,,,,,,,-0.2597001259659842,-0.1726973719506878,-0.2121513934045444,-0.4278975757122569,-0.3266799743435574,-0.20959332713622403,,,,,,,,,,,,-1.3490196425472705
cifar10,FT,vgg16,79.8044444539388,57.49333333333333,85.32,100.0,81.91111110432942,67.06666666666666,90.31111123996311,70.31111111111112,69.5555553656684,37.733333333333334,71.59999972195095,44.977777777777774,85.64444428168403,67.37777777777778,,,,,,,,,,,,,,,,,,,,,,,-0.27957228790036753,-0.18122626146232504,-0.22145669402417778,-0.45750798573944024,-0.371818743680964,-0.21328489731134576,,,,,,,,,,,,-1.4452945822182528
cifar10,FF,vgg16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
cifar10,GA,vgg16,59.37777781032986,57.49333333333333,67.64,100.0,64.35555558268229,67.06666666666666,38.31111126030816,70.31111111111112,61.06666663614909,37.733333333333334,60.22222233751085,44.977777777777774,72.93333327907986,67.37777777777778,,,,,,,,,,,,,,,,,,,,,,,-0.031736527476929156,0.042127071383933824,0.8352668141985282,-0.38209606956020303,-0.2531365327950993,-0.07617306451692962,,,,,,,,,,,,0.16598821871023006
